,Headline,Date,URL,Company
0,"Accenture PLC Cl A stock falls Wednesday, underperforms market",2023-04-19 16:34:00,https://www.marketwatch.com/data-news/accenture-plc-cl-a-stock-falls-wednesday-underperforms-market-458b6bc6-785807926b66?mod=mw_quote_news,acn
1,"Accenture PLC Cl A stock falls Tuesday, underperforms market",2023-04-18 16:34:00,https://www.marketwatch.com/data-news/accenture-plc-cl-a-stock-falls-tuesday-underperforms-market-328c5b50-d4a8c1b5933f?mod=mw_quote_news,acn
2,"Accenture PLC Cl A stock rises Monday, still underperforms market",2023-04-17 16:34:00,https://www.marketwatch.com/data-news/accenture-plc-cl-a-stock-rises-monday-still-underperforms-market-a23346c1-d0d1dcb5a109?mod=mw_quote_news,acn
3,Accenture PLC Cl A stock underperforms Friday when compared to competitors,2023-04-14 16:34:00,https://www.marketwatch.com/data-news/accenture-plc-cl-a-stock-underperforms-friday-when-compared-to-competitors-3b3a177b-ef0e086da975?mod=mw_quote_news,acn
4,"Accenture PLC Cl A stock rises Thursday, still underperforms market",2023-04-13 16:34:00,https://www.marketwatch.com/data-news/accenture-plc-cl-a-stock-rises-thursday-still-underperforms-market-a55e82d8-c90767f30c20?mod=mw_quote_news,acn
5,"Accenture to lay off 19,000 employees, while stock jumps after earnings beat",2023-03-23 07:06:00,https://www.marketwatch.com/story/accenture-stock-surges-after-profit-revenue-rise-above-expectations-amid-record-bookings-e0481dd6?mod=mw_quote_news,acn
6,"Accenture to Cut 19,000 Jobs After Lowering Guidance. The Stock Is Rising.",2023-03-23 07:20:00,https://www.marketwatch.com/articles/accenture-stock-earnings-outlook-5e80f0b?mod=mw_quote_news,acn
7,"Nike, Chevron, Nvidia, Altria, Adobe, and More Stocks to Watch This Week",2023-03-19 15:00:00,https://www.marketwatch.com/articles/stocks-to-watch-this-week-nike-chevron-nvidia-altria-adobe-b04017fa?mod=mw_quote_news,acn
8,Stocks Poised to Rise,2023-03-19 18:27:00,https://www.marketwatch.com/articles/stocks-poised-to-rise-54a7be07?mod=mw_quote_news,acn
9,Trivago’s Secret Weapon: Inflation Driving Comparison Shopping,2023-03-17 20:19:00,https://www.marketwatch.com/articles/trivagos-secret-weapon-inflation-driving-comparison-shopping-779b06b3?mod=mw_quote_news,acn
10,IBM Bear Drops Sell Rating. Cloud Spending Should Stay Strong.,2023-01-19 12:39:00,https://www.marketwatch.com/articles/ibm-stock-price-rating-upgrade-analyst-51674149897?mod=mw_quote_news,acn
11,Buy This Small-Cap Stock. It’s a Recession Proof Play on IT.,2023-01-13 20:00:00,https://www.marketwatch.com/articles/buy-endava-stock-price-pick-51673648121?mod=mw_quote_news,acn
12,"Metaverse Offers $1 Trillion Commerce Opportunity by Late 2025, Accenture Says",2023-01-04 08:00:00,https://www.marketwatch.com/articles/metaverse-commerce-accenture-51672346692?mod=mw_quote_news,acn
13,Accenture Raises Forecast for Profit. But CEO Warns Clients Are Spending Cautiously.,2022-12-16 08:22:00,https://www.marketwatch.com/articles/accenture-stock-earnings-51671196839?mod=mw_quote_news,acn
14,Accenture beats earnings estimate but shares dip,2022-12-16 07:51:00,https://www.marketwatch.com/story/accenture-beats-earnings-estimate-but-shares-dip-2022-12-16?mod=mw_quote_news,acn
15,Accenture Stock Downgraded as Analyst Sees ‘Challenged’ Technology Spending Environment,2022-12-12 11:35:00,https://www.marketwatch.com/articles/accenture-stock-downgraded-51670862885?mod=mw_quote_news,acn
16,3 Cheap Tech Stocks to Buy Right Now,2023-04-18 00:45:00,https://www.fool.com/investing/2023/04/18/3-cheap-tech-stocks-to-buy-right-now/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,acn
17,"Why Chewy, Williams-Sonoma, and Accenture Are No-Brainer Buys Right Now",2023-04-17 00:11:00,https://www.fool.com/investing/2023/04/17/why-chewy-williams-sonoma-and-accenture-are-no-bra/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,acn
