,Headline,Date,URL,Company
0,Challenging Markets Dim Outlook for Alternative Asset Managers: Analyst,2023-04-17 12:43:00,https://www.marketwatch.com/articles/blackstone-stock-alt-asset-managers-outlook-33a05bb6?mod=mw_quote_news,apo
1,THG PLC Shares Rise After Confirmation of Apollo Global Management Bid Approach,2023-04-17 05:31:00,https://www.marketwatch.com/story/thg-plc-shares-rise-after-confirmation-of-apollo-global-management-bid-approach-bcc75c40?mod=mw_quote_news,apo
2,Oppenheimer upgrades Blackstone to outperform,2023-04-13 08:57:00,https://www.marketwatch.com/story/oppenheimer-upgrades-blackstone-to-outperform-473396f4?mod=mw_quote_news,apo
3,FDA pulls preterm-birth drug Makena and its generics from market after 12 years,2023-04-06 13:06:00,https://www.marketwatch.com/story/fda-pulls-pre-term-birth-drug-makena-and-its-generics-from-market-after-12-years-997b48ae?mod=mw_quote_news,apo
4,"As recession fears grow, a ‘credit crunch’ is already under way, economist warns",2023-04-06 15:24:00,https://www.marketwatch.com/story/a-credit-crunch-is-already-under-way-and-may-result-in-a-recession-economist-warns-3e9582e9?mod=mw_quote_news,apo
5,Apollo Management Makes Final Bid of 240 Pence Per Share for John Wood Group,2023-04-04 12:03:00,https://www.marketwatch.com/story/apollo-management-makes-final-bid-of-240-pence-per-share-for-john-wood-group-c727e4d7?mod=mw_quote_news,apo
6,High Yields Are Great for Savers but a Problem for Everyone Else,2023-03-30 00:30:00,https://www.marketwatch.com/articles/cash-banks-savings-yields-deposits-b962a0a2?mod=mw_quote_news,apo
7,Why It Makes Perfect Sense That First Citizens Bought SVB,2023-03-27 15:21:00,https://www.marketwatch.com/articles/first-citizens-bank-stock-price-fcnca-svb-fdic-aa0b35be?mod=mw_quote_news,apo
8,Stephanie Drescher,2023-03-17 09:00:00,https://www.marketwatch.com/articles/barrons-100-most-influential-women-in-u-s-finance-stephanie-drescher-893577b?mod=mw_quote_news,apo
9,John Wood Extends Apollo's Takeover Offer Deadline,2023-03-17 03:23:00,https://www.marketwatch.com/story/john-wood-extends-apollo-s-takeover-offer-deadline-506c7a44?mod=mw_quote_news,apo
10,FDIC’s Silicon Valley Bank will likely be sold to another bank: report,2023-03-15 16:55:00,https://www.marketwatch.com/story/fdics-silicon-valley-bank-will-likely-be-sold-to-another-bank-report-af1ee4b3?mod=mw_quote_news,apo
11,‘Hard landing’ in store for U.S. economy as bank crisis intensifies: economist,2023-03-15 08:53:00,https://www.marketwatch.com/story/bank-woes-means-no-more-fed-rate-hikes-says-apollo-globals-top-economist-76f21894?mod=mw_quote_news,apo
12,Economist Who Coined ‘No Landing’ Now Says Recession Is Almost Inevitable,2023-03-15 11:23:00,https://www.marketwatch.com/articles/torsten-slok-economic-outlook-banks-aac85353?mod=mw_quote_news,apo
13,Atlas Air Expects Apollo-Led Group Deal to Clear as Soon as Friday,2023-03-14 16:42:00,https://www.marketwatch.com/story/atlas-air-expects-apollo-led-group-deal-to-clear-as-soon-as-friday-8e816e0f?mod=mw_quote_news,apo
14,Apollo Is Buying Univar. The Plastic Distributor’s Stock Is Jumping.,2023-03-14 10:01:00,https://www.marketwatch.com/articles/apollo-buying-univar-stock-1c898c57?mod=mw_quote_news,apo
15,"Apollo, Blackstone interested in buying SVB Financial loan book: Bloomberg",2023-03-14 08:45:00,https://www.marketwatch.com/story/apollo-blackstone-interested-in-buying-svb-financial-loan-book-bloomberg-307b7f1a?mod=mw_quote_news,apo
16,Apollo Confirms $8.1 Billion Deal to Buy Univar >UNVR,2023-03-14 08:17:00,https://www.marketwatch.com/story/apollo-confirms-8-1-billion-deal-to-buy-univar-unvr-33ce4cd0?mod=mw_quote_news,apo
17,Univar rallies on $8 bln buyout by Apollo Global Management,2023-03-14 07:33:00,https://www.marketwatch.com/story/univar-rallies-on-wsj-report-of-8-bln-buyout-by-apollo-global-management-bdb0109a?mod=mw_quote_news,apo
18,Univar Shares Rally Premarket on Report of Apollo Buyout >UNVR,2023-03-14 07:26:00,https://www.marketwatch.com/story/univar-shares-rally-premarket-on-report-of-apollo-buyout-unvr-1fb9a27e?mod=mw_quote_news,apo
19,Why GoPro Stock Was All Blurry on Monday,2023-03-06 13:03:00,https://www.fool.com/investing/2023/03/06/why-gopro-stock-was-all-blurry-on-monday/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,apo
