,Headline,Date,URL,Company
0,Opinion: This hidden COVID-19 investment theme is ‘one of the best buying opportunities I have ever seen’,2020-07-11 12:32:00,https://www.marketwatch.com/story/this-overlooked-covid-19-investment-theme-is-one-of-the-best-buying-opportunities-i-have-ever-seen-2020-07-08?mod=mw_quote_news,axs
1,Another insurer will dump coal and oil sands,2019-10-16 15:13:00,https://www.marketwatch.com/story/another-insurer-will-dump-coal-and-oil-sands-2019-10-16?mod=mw_quote_news,axs
2,Hurricane Dorian May Not Slam Florida. It’s Good News for Reinsurers.,,https://www.marketwatch.com/articles/hurricane-dorian-florida-reinsurers-51567523589?mod=mw_quote_news,axs
3,Hurricane Harvey is still battering insurance stocks and Irma hasn’t even touched land yet,,https://www.marketwatch.com/story/hurricane-harvey-is-still-battering-insurance-stocks-and-irma-hasnt-even-touched-land-yet-2017-09-07?mod=mw_quote_news,axs
4,Gold’s 2016 peak now looks easy to reach after the metal’s big breakout,2017-08-29 09:08:00,https://www.marketwatch.com/story/golds-2016-peak-now-looks-easy-to-reach-after-the-metals-big-breakout-2017-08-29?mod=mw_quote_news,axs
5,Worried about Trump failing to boost the economy? This money manager has a strategy for that,2017-06-04 07:43:00,https://www.marketwatch.com/story/worried-about-trump-failing-to-boost-the-economy-this-money-manager-has-a-strategy-for-that-2017-06-01?mod=mw_quote_news,axs
6,Axis Capital operating earnings fall,2017-02-01 17:22:00,https://www.marketwatch.com/story/axis-capital-operating-earnings-fall-2017-02-01-174852223?mod=mw_quote_news,axs
7,"Axis Capital unveils $1 billion share buyback program, raises quarterly dividend by 8%",2016-12-09 08:35:00,https://www.marketwatch.com/story/axis-capital-unveils-1-billion-share-buyback-program-raises-quarterly-dividend-by-8-2016-12-09?mod=mw_quote_news,axs
8,Chubb operating earnings soar on premium growth,2016-07-26 17:15:00,https://www.marketwatch.com/story/chubb-operating-earnings-soar-on-premium-growth-2016-07-26?mod=mw_quote_news,axs
9,Axis Capital operating profit slumps 50%,2016-07-26 17:11:00,https://www.marketwatch.com/story/axis-capital-operating-profit-slumps-50-2016-07-26?mod=mw_quote_news,axs
10,"Exor, PartnerRe settle on $6.9 billion deal",2015-08-03 11:28:00,https://www.marketwatch.com/story/exor-partnerre-settle-on-69-billion-deal-2015-08-03-114852828?mod=mw_quote_news,axs
11,"Exor, PartnerRe settle on $6.9 billion deal",2015-08-03 07:59:00,https://www.marketwatch.com/story/exor-partnerre-settle-on-69-billion-deal-2015-08-03?mod=mw_quote_news,axs
