,Headline,Date,URL,Company
0,Chegg enters $150 million accelerated share repurchase agreement with JPMorgan and National Association,2023-02-24 08:07:00,https://www.marketwatch.com/story/chegg-enters-150-million-accelerated-share-repurchase-agreement-with-jpmorgan-and-national-association-d90316f2?mod=mw_quote_news,chgg
1,"These Stocks Are Moving the Most Today: Bed Bath, Chegg, Oak Street, Baidu, and More",2023-02-07 04:51:00,https://www.marketwatch.com/articles/stock-market-movers-bed-bath-chegg-bp-51675700049?mod=mw_quote_news,chgg
2,Chegg Earnings Topped Estimates. Why Its Stock Dropped 24%.,2023-02-07 06:51:00,https://www.marketwatch.com/articles/chegg-earnings-stock-price-51675769389?mod=mw_quote_news,chgg
3,"‘ChatGPT is today’s hand calculator,’ this CEO says",2023-02-06 20:15:00,https://www.marketwatch.com/story/chatgpt-is-todays-hand-calculator-this-ceo-says-11675732525?mod=mw_quote_news,chgg
4,"Stocks to Watch: Bed Bath & Beyond, Chegg, Alpha & Omega Semiconductor",2023-02-06 18:41:00,https://www.marketwatch.com/story/stocks-to-watch-bed-bath-beyond-chegg-alpha-omega-semiconductor-271675726909?mod=mw_quote_news,chgg
5,Chegg stock dives 20% as forecast calls for another year of shrinking sales,2023-02-06 16:45:00,https://www.marketwatch.com/story/chegg-stock-dives-more-than-20-as-forecast-calls-for-another-year-of-shrinking-sales-01675719932?mod=mw_quote_news,chgg
6,"Chegg Shares Drop 21% After Hours as 1Q, FY23 Outlook Misses Street Views",2023-02-06 16:49:00,https://www.marketwatch.com/story/chegg-shares-drop-21-after-hours-as-1q-fy23-outlook-misses-street-views-271675720182?mod=mw_quote_news,chgg
7,"Chegg, Bluebird Bio, Yeti, J.B. Hunt, and More Market Movers",2023-01-18 05:31:00,https://www.marketwatch.com/articles/stock-market-movers-51673967321?mod=mw_quote_news,chgg
8,Nvidia and 2 Other Stocks That Could Be Helped or Hurt by ChatGPT,2023-01-18 10:30:00,https://www.marketwatch.com/articles/chatgpt-how-affects-stocks-51674055724?mod=mw_quote_news,chgg
9,"Dow ends 500 points lower, Nasdaq falls 3.4% after Fed raises rates, Powell signals terminal interest rate will be higher than expected",2022-11-02 05:01:00,https://www.marketwatch.com/story/u-s-stock-futures-rise-in-cautious-trade-ahead-of-fed-policy-announcement-11667379721?mod=mw_quote_news,chgg
10,Chegg Stock Is Soaring Because Earnings Were Strong and Management Is Upbeat,2022-11-02 09:41:00,https://www.marketwatch.com/articles/chegg-stock-earnings-51667396353?mod=mw_quote_news,chgg
11,"Chegg sales, earnings beat estimates, sending stock up 16%",2022-11-01 16:28:00,https://www.marketwatch.com/story/chegg-sales-earnings-beat-estimates-sending-stock-up-16-2022-11-01?mod=mw_quote_news,chgg
12,More Students Are Going to College. That’s Good News for This Online Educator.,,https://www.marketwatch.com/articles/cheggs-stock-analyst-ratings-needham-51664212420?mod=mw_quote_news,chgg
13,"Chegg stock flies higher as earnings, revenue decline but top expectations",2022-08-04 18:43:00,https://www.marketwatch.com/story/chegg-stock-flies-higher-as-earnings-revenue-decline-but-top-expectations-2022-08-04?mod=mw_quote_news,chgg
14,Coursera stock walloped after earnings in latest downbeat signal for online education,2022-07-27 17:29:00,https://www.marketwatch.com/story/coursera-stock-walloped-after-earnings-in-latest-downbeat-signal-for-online-education-11658957378?mod=mw_quote_news,chgg
15,Small-cap growth stocks are the cheapest they’ve been in at least 24 years. Here’s how one manager is playing it.,2022-06-02 09:16:00,https://www.marketwatch.com/story/small-cap-growth-stocks-are-the-cheapest-theyve-been-in-at-least-24-years-heres-how-one-manager-is-playing-it-11654175814?mod=mw_quote_news,chgg
16,Chegg Stock Falls 40%. CEO Says Inflation Will Hurt Demand for Education.,2022-05-03 07:36:00,https://www.marketwatch.com/articles/chegg-stock-price-earnings-education-services-demand-51651577778?mod=mw_quote_news,chgg
17,20 Top Stocks to Buy Now in 2023,2023-03-01 01:00:00,https://www.fool.com/investing/2023/03/01/20-top-stocks-to-buy-now-in-2023/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,chgg
18,Why Chegg Stock Plunged 20% This Week,2023-02-10 06:41:00,https://www.fool.com/investing/2023/02/10/why-chegg-stock-plunged-20-this-week/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,chgg
19,Why Chegg Stock Was Down Today,2023-02-07 08:24:00,https://www.fool.com/investing/2023/02/07/why-chegg-stock-was-down-today/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,chgg
