,Headline,Date,URL,Company
0,"Costco Wholesale Corp. stock falls Wednesday, underperforms market",2023-04-19 16:46:00,https://www.marketwatch.com/data-news/costco-wholesale-corp-stock-falls-wednesday-underperforms-market-98dc1bbe-6a98bc20945b?mod=mw_quote_news,cost
1,Costco Boosts Quarterly Dividend by 13% to $1.02 a Share,2023-04-19 16:33:00,https://www.marketwatch.com/story/costco-boosts-quarterly-dividend-by-13-to-1-02-a-share-dc077d0a?mod=mw_quote_news,cost
2,Costco boosts dividend by 13%,2023-04-19 16:28:00,https://www.marketwatch.com/story/costco-boosts-dividend-by-13-b9abef44?mod=mw_quote_news,cost
3,"Costco Wholesale Corp. stock rises Tuesday, outperforms market",2023-04-18 16:46:00,https://www.marketwatch.com/data-news/costco-wholesale-corp-stock-rises-tuesday-outperforms-market-efdb2b28-6e58f6c4fb6f?mod=mw_quote_news,cost
4,"Costco Wholesale Corp. stock rises Monday, outperforms market",2023-04-17 16:46:00,https://www.marketwatch.com/data-news/costco-wholesale-corp-stock-rises-monday-outperforms-market-7f6436b9-ec4ea188dc43?mod=mw_quote_news,cost
5,"Costco Wholesale Corp. stock falls Friday, underperforms market",2023-04-14 16:46:00,https://www.marketwatch.com/data-news/costco-wholesale-corp-stock-falls-friday-underperforms-market-e66d6703-bfcfb4f690f8?mod=mw_quote_news,cost
6,"Costco Wholesale Corp. stock rises Thursday, outperforms market",2023-04-13 16:46:00,https://www.marketwatch.com/data-news/costco-wholesale-corp-stock-rises-thursday-outperforms-market-7809f2a0-eed94afa3fd4?mod=mw_quote_news,cost
7,Big-bank earnings in spotlight following historic failures: ‘Every income-statement line item is in flux’,2023-04-09 10:01:00,https://www.marketwatch.com/story/big-bank-earnings-in-spotlight-following-historic-failures-every-income-statement-line-item-is-in-flux-3644404e?mod=mw_quote_news,cost
8,"Costco’s first same-store sales drop in nearly 3 years is a ‘watchpoint’ for retailers, analysts say",2023-04-06 15:43:00,https://www.marketwatch.com/story/costcos-first-same-store-sales-drop-in-nearly-3-years-is-a-watchpoint-for-retailers-analysts-say-3f3ad5ef?mod=mw_quote_news,cost
9,Consumer Cos Flat After Costco Sales Tally -- Consumer Roundup,2023-04-06 17:07:00,https://www.marketwatch.com/story/consumer-cos-flat-after-costco-sales-tally-consumer-roundup-c3cac16?mod=mw_quote_news,cost
