,Headline,Date,URL,Company
0,Domino's Pizza Inc. stock underperforms Thursday when compared to competitors,2023-04-20 16:50:00,https://www.marketwatch.com/data-news/domino-s-pizza-inc-stock-underperforms-thursday-when-compared-to-competitors-47221bf6-76bbfc927619?mod=mw_quote_news,dpz
1,Domino's Pizza Inc. stock underperforms Wednesday when compared to competitors,2023-04-19 16:49:00,https://www.marketwatch.com/data-news/domino-s-pizza-inc-stock-underperforms-wednesday-when-compared-to-competitors-15d3f091-d2ae09a637d5?mod=mw_quote_news,dpz
2,Domino's Pizza Inc. stock underperforms Tuesday when compared to competitors,2023-04-18 16:50:00,https://www.marketwatch.com/data-news/domino-s-pizza-inc-stock-underperforms-tuesday-when-compared-to-competitors-62d4c007-deb113460730?mod=mw_quote_news,dpz
3,Domino's Pizza Inc. stock underperforms Monday when compared to competitors,2023-04-17 16:50:00,https://www.marketwatch.com/data-news/domino-s-pizza-inc-stock-underperforms-monday-when-compared-to-competitors-f26bdd96-6eca8046928b?mod=mw_quote_news,dpz
4,Domino's Pizza Inc. stock underperforms Friday when compared to competitors,2023-04-14 16:49:00,https://www.marketwatch.com/data-news/domino-s-pizza-inc-stock-underperforms-friday-when-compared-to-competitors-6b628c2c-795f070c5daf?mod=mw_quote_news,dpz
5,Domino’s Pizza CEO Buys Up Stock,2023-03-11 08:00:00,https://www.marketwatch.com/articles/dominos-pizza-stock-buy-ceo-6a22a8d3?mod=mw_quote_news,dpz
6,"These Stocks Are Moving the Most Today: Nvidia, Domino’s Pizza, Wayfair, Lucid, and More",2023-02-23 04:58:00,https://www.marketwatch.com/articles/stock-market-movers-3ff93d1f?mod=mw_quote_news,dpz
7,"Alibaba’s and Nvidia’s stocks rise, Domino’s and Dollar General shares fall, and other stocks on the move",2023-02-23 07:38:00,https://www.marketwatch.com/story/alibaba-and-nvidia-shares-climb-after-results-lucid-stock-slumps-on-delivery-outlook-69195fa6?mod=mw_quote_news,dpz
8,Domino’s Is Today’s Worst S&P 500 Stock. Inflation Hits Deliveries Business.,2023-02-23 10:42:00,https://www.marketwatch.com/articles/dominos-pizza-stock-earnings-inflation-deliveries-d0223735?mod=mw_quote_news,dpz
9,Domino’s Pizza shares drop after revenue shortfall,2023-02-23 07:51:00,https://www.marketwatch.com/story/dominos-pizza-stock-drops-after-revenue-fall-short-13a818c3?mod=mw_quote_news,dpz
10,"Domino's Pizza Sees Food Costs Rising This Year, But Pace Cooling",2023-02-23 08:17:00,https://www.marketwatch.com/story/domino-s-pizza-sees-food-costs-rising-this-year-but-pace-cooling-1d597bd?mod=mw_quote_news,dpz
11,Domino's Pizza Posts Light 4Q Sales Amid Delivery Challenges,2023-02-23 08:09:00,https://www.marketwatch.com/story/domino-s-pizza-posts-light-4q-sales-amid-delivery-challenges-cb2ecf29?mod=mw_quote_news,dpz
12,"Domino's Pizza Cuts Multi-Year Sales Outlook, Citing Delivery Challenges",2023-02-23 07:50:00,https://www.marketwatch.com/story/domino-s-pizza-cuts-multi-year-sales-outlook-citing-delivery-challenges-a2347fc0?mod=mw_quote_news,dpz
13,Domino's Pizza Raises Quarterly Dividend by 10% >DPZ,2023-02-23 07:41:00,https://www.marketwatch.com/story/domino-s-pizza-raises-quarterly-dividend-by-10-dpz-d4169d4c?mod=mw_quote_news,dpz
14,"Restaurants will probably have to raise prices even more next year to meet Wall Street expectations, analysts say",2022-12-21 16:04:00,https://www.marketwatch.com/story/restaurants-will-probably-have-to-raise-prices-next-year-to-meet-wall-street-expectations-analysts-say-11671656662?mod=mw_quote_news,dpz
15,"Domino’s Pizza is likely to enter 2023 with decade-high prices, analyst says — and they could rise more on some items",2022-12-05 16:26:00,https://www.marketwatch.com/story/dominos-pizza-is-likely-to-enter-2023-with-decade-high-prices-analyst-says-and-they-could-rise-more-on-some-items-11670275573?mod=mw_quote_news,dpz
16,Domino’s Is Rolling Out Delivery Fleet With 800 Chevy Bolt EVs,2022-11-21 09:24:00,https://www.marketwatch.com/articles/dominos-pizza-chevy-bolt-evs-51669040657?mod=mw_quote_news,dpz
17,1 Dividend Stock Down 41% You'll Regret Not Buying on the Dip,2023-04-18 07:15:00,https://www.fool.com/investing/2023/04/18/1-dividend-stock-down-41-youll-regret-not-buying-o/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,dpz
18,3 Magnificent Dividend Stocks Down More Than 40% That Are Downright Cheap Right Now,2023-04-05 06:05:00,https://www.fool.com/investing/2023/04/05/3-magnificent-dividend-stocks-down-more-than-40-th/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,dpz
19,Best Stock to Buy: Domino's vs. McDonald's vs. Chipotle,2023-03-21 17:36:00,https://www.fool.com/investing/2023/03/21/best-stock-to-buy-dominos-vs-mcdonalds-vs-chipotle/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,dpz
