,Headline,Date,URL,Company
0,DTE Energy Co. stock outperforms market on strong trading day,2023-04-19 16:30:00,https://www.marketwatch.com/data-news/dte-energy-co-stock-outperforms-market-on-strong-trading-day-af891d68-ca7ff332f2ff?mod=mw_quote_news,dte
1,"DTE Energy Co. stock falls Tuesday, underperforms market",2023-04-18 16:30:00,https://www.marketwatch.com/data-news/dte-energy-co-stock-falls-tuesday-underperforms-market-d88e2dfe-874d077a502a?mod=mw_quote_news,dte
2,"DTE Energy Co. stock falls Monday, underperforms market",2023-04-17 16:30:00,https://www.marketwatch.com/data-news/dte-energy-co-stock-falls-monday-underperforms-market-4831306f-274564d6ba35?mod=mw_quote_news,dte
3,DTE Energy Co. stock outperforms market despite losses on the day,2023-04-14 16:30:00,https://www.marketwatch.com/data-news/dte-energy-co-stock-outperforms-market-despite-losses-on-the-day-d13861d5-705ed4c2861e?mod=mw_quote_news,dte
4,"DTE Energy Co. stock falls Thursday, underperforms market",2023-04-13 16:30:00,https://www.marketwatch.com/data-news/dte-energy-co-stock-falls-thursday-underperforms-market-4f5cf476-bbf801fd48f0?mod=mw_quote_news,dte
5,"Michigan residents endure 4th straight day without power, as California gets breather from winter storm",2023-02-26 16:24:00,https://www.marketwatch.com/story/michigan-residents-endure-4th-straight-day-without-power-as-california-gets-breather-from-winter-storm-203f4ee4?mod=mw_quote_news,dte
6,DTE Energy Confirms Operating EPS Growth Guidance for 2023,2023-02-23 07:21:00,https://www.marketwatch.com/story/dte-energy-confirms-operating-eps-growth-guidance-for-2023-6d32683?mod=mw_quote_news,dte
7,DTE Energy 4Q Profit Declined,2023-02-23 07:14:00,https://www.marketwatch.com/story/dte-energy-4q-profit-declined-58294ed8?mod=mw_quote_news,dte
8,"More than 250,000 DTE Energy customers in Michigan without power after storms",2022-08-30 05:54:00,https://www.marketwatch.com/story/more-than-250000-dte-energy-in-michigan-without-power-after-storms-2022-08-30?mod=mw_quote_news,dte
9,Energy Stocks Have Soared. These 3 Laggards Could Be Worth Another Look.,2022-03-29 03:00:00,https://www.marketwatch.com/articles/energy-sector-stocks-phillips-66-dt-equitrans-51648502267?mod=mw_quote_news,dte
10,Sherwin-Williams Stock Can Rise on Commercial Paint Sales,2021-06-11 20:40:00,https://www.marketwatch.com/articles/sherwin-williams-stock-can-rise-51623458447?mod=mw_quote_news,dte
11,Investors Have Shunned Utility Stocks. Here Are 6 to Consider.,2021-02-05 06:00:00,https://www.marketwatch.com/articles/investors-have-shunned-utilities-despite-their-steady-dividends-here-are-6-to-consider-for-yield-51612522801?mod=mw_quote_news,dte
