,Headline,Date,URL,Company
0,Equinix Inc. stock outperforms competitors on strong trading day,2023-04-19 16:52:00,https://www.marketwatch.com/data-news/equinix-inc-stock-outperforms-competitors-on-strong-trading-day-4c63aa6c-a64b0040fecb?mod=mw_quote_news,eqix
1,Equinix Inc. stock underperforms Tuesday when compared to competitors,2023-04-18 16:52:00,https://www.marketwatch.com/data-news/equinix-inc-stock-underperforms-tuesday-when-compared-to-competitors-3b649afa-c3f4d25d5265?mod=mw_quote_news,eqix
2,"Equinix Inc. stock rises Monday, outperforms market",2023-04-17 16:52:00,https://www.marketwatch.com/data-news/equinix-inc-stock-rises-monday-outperforms-market-abdb876b-349aedf8530d?mod=mw_quote_news,eqix
3,"Equinix Inc. stock falls Friday, underperforms market",2023-04-14 16:52:00,https://www.marketwatch.com/data-news/equinix-inc-stock-falls-friday-underperforms-market-32d2d6d1-cebfcd5953cc?mod=mw_quote_news,eqix
4,"Equinix Inc. stock falls Thursday, underperforms market",2023-04-13 16:52:00,https://www.marketwatch.com/data-news/equinix-inc-stock-falls-thursday-underperforms-market-acb64372-0b94e9e27fbb?mod=mw_quote_news,eqix
5,Equinix Stock Rallies on Higher Cash Flow Outlook,2022-11-03 13:59:00,https://www.marketwatch.com/articles/equinix-stock-earnings-ceo-interview-51667498306?mod=mw_quote_news,eqix
6,10 Real Estate Companies That Are Both Greener and More Profitable,2022-02-19 03:00:00,https://www.marketwatch.com/articles/most-sustainable-real-estate-companies-reits-51644967127?mod=mw_quote_news,eqix
7,"A Giant Fund Bought More Apple, AMD, and Equinix Stock. Here’s What It Sold.",2021-11-06 07:00:00,https://www.marketwatch.com/articles/apple-stock-amd-pension-retirement-51635891007?mod=mw_quote_news,eqix
8,"Nike, FedEx, Johnson & Johnson, Darden, and Other Stocks for Investors to Watch This Week",2021-06-20 15:00:00,https://www.marketwatch.com/articles/nike-fedex-johnson-johnson-darden-and-other-stocks-for-investors-to-watch-this-week-51624215603?mod=mw_quote_news,eqix
9,It’s the Year of Digital Infrastructure. Here Are 4 Stocks to Buy.,2021-01-22 16:05:00,https://www.marketwatch.com/articles/cell-tower-and-data-centers-should-benefit-from-5g-in-2021-here-are-the-stocks-to-buy-51611349519?mod=mw_quote_news,eqix
10,"Down 50%, Should You Sell Digital Realty Trust and Cut Your Losses?",2023-04-19 00:51:00,https://www.fool.com/investing/2023/04/19/down-50-should-you-sell-digital-realty-trust-and-c/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,eqix
11,Prediction: 3 Growth Stocks That Could Trounce the Market,2023-04-08 02:35:00,https://www.fool.com/investing/2023/04/08/prediction-3-growth-stocks-that-could-trounce-the/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,eqix
12,Don't Wait Until the Dip Is Over to Buy These 2 Magnificent Growth Stocks,2023-03-31 11:46:00,https://www.fool.com/investing/2023/03/31/dont-wait-until-the-dip-is-over-to-buy-these-2-mag/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,eqix
