,Headline,Date,URL,Company
0,"Zymeworks Shares Rise 8% After 4Q Earnings, Revenue Beat",2023-03-08 11:08:00,https://www.marketwatch.com/story/zymeworks-shares-rise-8-after-4q-earnings-revenue-beat-5ae80cf3?mod=mw_quote_news,jazz
1,Axsome Inks Overseas Sunosi License Deal With Pharmanovia >AXSM,2023-02-22 07:23:00,https://www.marketwatch.com/story/axsome-inks-overseas-sunosi-license-deal-with-pharmanovia-axsm-9ef5c283?mod=mw_quote_news,jazz
2,FDA says it will not regulate CBD and calls on Congress to act,2023-01-26 14:04:00,https://www.marketwatch.com/story/fda-says-it-will-not-regulate-cbd-and-calls-on-congress-to-act-11674759895?mod=mw_quote_news,jazz
3,Zymeworks shares gain on promising data for cancer drug in development with Jazz Pharmaceuticals,2023-01-19 08:07:00,https://www.marketwatch.com/story/zymeworks-shares-gain-on-promising-data-for-cancer-drug-in-development-with-jazz-pharmaceuticals-01674133657?mod=mw_quote_news,jazz
4,"Zymeworks, Jazz agree to licensing deal for cancer drug",2022-10-19 08:38:00,https://www.marketwatch.com/story/zymeworks-jazz-agree-to-licensing-deal-for-cancer-drug-2022-10-19?mod=mw_quote_news,jazz
5,FDA stalled on CBD for now: Analyst,2022-06-15 10:33:00,https://www.marketwatch.com/story/fda-stalled-on-cbd-for-now-analyst-11655303587?mod=mw_quote_news,jazz
6,"Jazz, Werewolf sign licensing deal worth up to $1.2 billion",2022-04-07 08:34:00,https://www.marketwatch.com/story/jazz-werewolf-sign-licensing-deal-worth-up-to-12-billion-2022-04-07?mod=mw_quote_news,jazz
7,Biotech Stocks Could Make a Comeback. The ‘M&A Stars’ Are in Line.,2022-01-03 09:25:00,https://www.marketwatch.com/articles/biotech-stocks-outlook-2022-51641219807?mod=mw_quote_news,jazz
8,Pfizer’s Arena Pharma deal may lead drug company to a cannabis-based treatment,2021-12-23 12:01:00,https://www.marketwatch.com/story/pfizers-arena-pharma-deal-may-lead-drug-company-to-a-cannabis-based-treatment-11640278900?mod=mw_quote_news,jazz
9,Vertical Wellness becomes first house of CBD brands to hit public markets,2021-06-29 09:00:00,https://www.marketwatch.com/story/vertical-wellness-becomes-first-house-of-cbd-brands-to-hit-public-markets-11624971628?mod=mw_quote_news,jazz
10,Jazz's leukemia drug gets approved by the FDA,2021-07-02 12:11:00,https://www.marketwatch.com/story/jazzs-leukemia-drug-gets-approved-by-the-fda-2021-07-01?mod=mw_quote_news,jazz
11,Jazz updates 2021 guidance after closing acquisition of GW Pharmaceuticals,2021-06-17 08:00:00,https://www.marketwatch.com/story/jazz-updates-2021-guidance-after-closing-acquisition-of-gw-pharmaceuticals-2021-06-17?mod=mw_quote_news,jazz
12,Cannabinoid company backed by rapper Snoop Dogg headed for London IPO,2021-05-19 16:05:00,https://www.marketwatch.com/story/cannabinoid-company-backed-by-rapper-snoop-dogg-headed-for-london-ipo-11621343613?mod=mw_quote_news,jazz
13,Inflation Is Coming. 5 Stocks to Buy Now.,2021-04-27 16:24:00,https://www.marketwatch.com/articles/inflation-is-coming-5-stocks-to-buy-now-51619555096?mod=mw_quote_news,jazz
14,Canopy Growth to acquire Supreme Cannabis in latest tie-up in busy weed sector,2021-04-08 13:24:00,https://www.marketwatch.com/story/canopy-growth-to-acquire-supreme-cannabis-in-latest-tie-up-in-busy-weed-sector-11617902661?mod=mw_quote_news,jazz
15,The Top Healthcare Stocks to Buy With $100,2023-04-17 23:30:00,https://www.fool.com/investing/2023/04/18/the-top-healthcare-stocks-to-buy-with-100/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,jazz
16,2 Top Biotech Stocks to Buy in April,2023-04-03 23:30:00,https://www.fool.com/investing/2023/04/04/2-top-biotech-stocks-to-buy-in-april/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,jazz
17,My Top Cannabis Stock to Buy in 2023 and Hold For 10 Years,2023-03-21 00:45:00,https://www.fool.com/investing/2023/03/21/my-top-cannabis-stocks-to-buy-in-2023-and-hold-for/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,jazz
