,Headline,Date,URL,Company
0,Juniper Networks Inc. stock outperforms competitors despite losses on the day,2023-04-20 17:04:00,https://www.marketwatch.com/data-news/juniper-networks-inc-stock-outperforms-competitors-despite-losses-on-the-day-7229dfe9-90082ec5cde2?mod=mw_quote_news,jnpr
1,Juniper Networks Inc. stock outperforms competitors despite losses on the day,2023-04-19 17:04:00,https://www.marketwatch.com/data-news/juniper-networks-inc-stock-outperforms-competitors-despite-losses-on-the-day-20d8348e-421ad55e194b?mod=mw_quote_news,jnpr
2,"Juniper Networks Inc. stock falls Tuesday, underperforms market",2023-04-18 17:03:00,https://www.marketwatch.com/data-news/juniper-networks-inc-stock-falls-tuesday-underperforms-market-57df0418-0577aa149702?mod=mw_quote_news,jnpr
3,"Juniper Networks Inc. stock falls Monday, underperforms market",2023-04-17 17:03:00,https://www.marketwatch.com/data-news/juniper-networks-inc-stock-falls-monday-underperforms-market-c7601989-34c832d67e74?mod=mw_quote_news,jnpr
4,Juniper Networks Inc. stock outperforms competitors despite losses on the day,2023-04-14 17:03:00,https://www.marketwatch.com/data-news/juniper-networks-inc-stock-outperforms-competitors-despite-losses-on-the-day-5e694833-14dc2d1df7f2?mod=mw_quote_news,jnpr
5,"Alibaba and JD.com shares gain amid spinoff potential, Roku’s stock falls after layoff news, and other stocks on the move",2023-03-30 08:20:00,https://www.marketwatch.com/story/roku-cost-cutting-boosts-shares-while-rhs-stock-hit-by-slowing-sales-d90fd6ce?mod=mw_quote_news,jnpr
6,5 Stocks With the Potential to Rise 10 Times in Price,2022-11-20 07:30:00,https://www.marketwatch.com/articles/electronic-arts-on-semiconductor-synaptic-stocks-ten-times-51668804759?mod=mw_quote_news,jnpr
7,Cisco Stock Gains on Earnings. Layoffs Are Coming.,2022-11-16 01:00:00,https://www.marketwatch.com/articles/cisco-earnings-stock-price-51668548274?mod=mw_quote_news,jnpr
8,"‘Cloud titans’ Meta and Microsoft bring growth and risk to Arista Networks, analyst says",2022-11-01 11:54:00,https://www.marketwatch.com/story/cloud-titans-meta-and-microsoft-bring-growth-and-risk-to-arista-networks-analyst-says-11667318079?mod=mw_quote_news,jnpr
9,Juniper Networks Had Lousy Earnings. It’s AI Strategy Could Push the Stock Higher.,2022-08-26 20:38:00,https://www.marketwatch.com/articles/juniper-networks-stock-ai-51661560640?mod=mw_quote_news,jnpr
10,Arista Has Been a Winner in the Cloud Buildout. Why One Analyst Advises Caution.,2022-08-24 12:52:00,https://www.marketwatch.com/articles/arista-networks-stock-valuation-51661359878?mod=mw_quote_news,jnpr
11,Cisco Is Losing Market Share Due to Supply Chain Issues. Citi Sees More Downside Ahead.,2022-08-15 09:06:00,https://www.marketwatch.com/articles/cisco-supply-issues-citi-downside-51660568656?mod=mw_quote_news,jnpr
12,Networking Stocks Like Arista Should Prosper Even in a Downturn. This Is Why.,2022-07-19 11:11:00,https://www.marketwatch.com/articles/networking-stocks-should-prosper-in-downturn-51658243519?mod=mw_quote_news,jnpr
13,IT Spending Growth Is Slowing. Here Are 3 Stocks That Will Feel The Pain.,2022-07-13 11:35:00,https://www.marketwatch.com/articles/it-spending-slowing-3-stocks-feel-pain-51657726486?mod=mw_quote_news,jnpr
14,These software companies are unsung winners in the semiconductor industry,2022-06-21 14:47:00,https://www.marketwatch.com/story/these-software-companies-are-unsung-winners-in-the-semiconductor-industry-11655837237?mod=mw_quote_news,jnpr
15,Why Cisco’s Earnings Are Causing Networking Stocks Juniper and Broadcom to Sink,2022-05-19 04:29:00,https://www.marketwatch.com/articles/cisco-juniper-broadcom-stock-price-earnings-51652948914?mod=mw_quote_news,jnpr
16,Cisco Stock Tumbles. Earnings and Guidance Fell Short.,2022-05-17 17:12:00,https://www.marketwatch.com/articles/cisco-stock-price-earnings-51652821828?mod=mw_quote_news,jnpr
