,Headline,Date,URL,Company
0,"S&P 500 Futures Fall in Premarket Trading; CDW Corp., Logitech International Lag",2023-04-19 07:30:00,https://www.marketwatch.com/articles/s-p-500-futures-fall-in-premarket-trading-cdw-corp-logitech-international-lag-62e431c3?mod=mw_quote_news,logi
1,Logitech Shares Fall After It Forecast Sales Decline,2023-03-08 05:34:00,https://www.marketwatch.com/story/logitech-shares-fall-after-it-forecast-sales-decline-104e1166?mod=mw_quote_news,logi
2,Logitech Details Sales Slowdown Ahead of Key Tech Earnings,2023-01-24 04:53:00,https://www.marketwatch.com/articles/logitech-stock-tech-earnings-51674553477?mod=mw_quote_news,logi
3,"These Stocks Are Moving the Most Today: Logitech, Cinemark, American Airlines,  and More",2023-01-12 04:56:00,https://www.marketwatch.com/articles/stock-market-movers-disney-taiwan-semi-kb-home-51673463112?mod=mw_quote_news,logi
4,Logitech Tumbles on Weak Earnings. China and Demand Are Major Concerns.,2023-01-12 06:55:00,https://www.marketwatch.com/articles/logitech-stock-china-demand-covid-51673523825?mod=mw_quote_news,logi
5,"Sell These 3 Tech Stocks Because PC Demand Is Tumbling, Morgan Stanley Says",2022-11-04 13:46:00,https://www.marketwatch.com/articles/tech-stocks-sell-pc-demand-51667583918?mod=mw_quote_news,logi
6,Logitech Sales Missed Estimates. The Stock Is Climbing.,2022-10-25 03:57:00,https://www.marketwatch.com/articles/logitech-earnings-stock-price-51666684625?mod=mw_quote_news,logi
7,Logitech Cuts Full-Year Sales. More People Are Returning to the Office.,2022-07-26 03:15:00,https://www.marketwatch.com/articles/logitech-earnings-outlook-stock-price-51658819718?mod=mw_quote_news,logi
8,Apple Is Still the Best Bet in a Tech Spending Slowdown: Analysts,2022-06-15 08:12:00,https://www.marketwatch.com/articles/apple-stock-tech-spending-slowdown-51655295115?mod=mw_quote_news,logi
9,"Lyft, Unilever, JLL and dozens more companies want Congress to break stalemate on clean energy before midterm elections",2022-04-26 11:56:00,https://www.marketwatch.com/story/lyft-unilever-jll-and-dozens-more-companies-want-congress-to-break-stalemate-on-clean-energy-before-midterm-elections-11650988580?mod=mw_quote_news,logi
10,"Logitech Stock Is a Buy, With Attractive Long-Term Growth, Goldman Says",2022-04-04 11:55:00,https://www.marketwatch.com/articles/logitech-stock-buy-rating-growth-goldman-51649087633?mod=mw_quote_news,logi
11,Logitech Stock Climbs. Earnings Were a Positive for the PC Sector.,2022-01-25 03:57:00,https://www.marketwatch.com/articles/logitech-stock-price-earnings-sales-guidance-51643101027?mod=mw_quote_news,logi
12,"Logitech Stock Looks Like a Bargain After a 40% Swoon, Analyst Says",2021-12-13 12:15:00,https://www.marketwatch.com/articles/logitech-stock-price-bargain-analyst-51639415626?mod=mw_quote_news,logi
13,Logitech Stock Is Down Because the Company’s Pandemic-Driven Growth Is Slowing,2021-10-26 11:39:00,https://www.marketwatch.com/articles/logitech-stock-price-earnings-sales-51635262196?mod=mw_quote_news,logi
14,Logitech Stock Slides as Morgan Stanley Turns Bearish. Growth Is Slowing.,,https://www.marketwatch.com/articles/logitech-stock-morgan-stanley-bearish-growth-51632843786?mod=mw_quote_news,logi
15,Logitech Stock Tumbles as Forecast Disappoints. Earnings Beat Forecasts.,2021-07-27 12:09:00,https://www.marketwatch.com/articles/logitech-stock-earnings-guidance-disappoints-51627402177?mod=mw_quote_news,logi
16,Logitech Stock Slips as Goldman Cuts Its Rating,2021-06-25 10:57:00,https://www.marketwatch.com/articles/logitech-stock-slips-as-goldman-cuts-its-rating-51624633031?mod=mw_quote_news,logi
