,Headline,Date,URL,Company
0,MDU Resources and AppHarvest Stock See Action From Activist Investors,2022-08-12 18:20:00,https://www.marketwatch.com/articles/mdu-resources-and-appharvest-stock-see-action-from-acitivist-investors-51660342855?mod=mw_quote_news,mdu
1,Dozens of Dividend Aristocrat stock have been big winners in 2019,2019-07-28 09:52:00,https://www.marketwatch.com/story/heres-how-all-the-dividend-aristocrat-stocks-have-performed-this-year-2019-07-25?mod=mw_quote_news,mdu
2,Why you might want to avoid these 30 dividend stocks,2017-07-31 07:32:00,https://www.marketwatch.com/story/why-you-might-want-to-avoid-these-30-dividend-stocks-2017-07-20?mod=mw_quote_news,mdu
3,Growth and Value Mix in a Top-Performing ESG Fund,2017-06-17 00:45:00,http://www.marketwatch.com/articles/growth-and-value-mix-in-a-top-performing-esg-fund-1497674702?mod=mw_quote_news,mdu
4,These ‘Dividend Aristocrat’ stocks have risen up to 24% a year for a decade,2016-03-11 07:45:00,https://www.marketwatch.com/story/these-dividend-aristocrat-stocks-have-risen-up-to-24-a-year-for-a-decade-2016-03-01?mod=mw_quote_news,mdu
5,13 ‘Dividend Aristocrat’ stocks with yields over 4%,2015-11-25 15:42:00,https://www.marketwatch.com/story/13-dividend-aristocrat-stocks-with-yields-over-4-2015-11-19?mod=mw_quote_news,mdu
6,Finding an MLP for aggressive investors only,2015-03-13 11:34:00,https://www.marketwatch.com/story/finding-an-mlp-for-aggressive-investors-only-2015-03-13?mod=mw_quote_news,mdu
7,5 ‘secret’ stocks in the hottest sectors of 2014,2014-05-14 10:29:00,https://www.marketwatch.com/story/5-secret-stocks-in-the-hottest-sectors-of-2014-2014-05-14?mod=mw_quote_news,mdu
8,MDU ups dividend for 21st straight year,2011-11-17 14:10:00,https://www.marketwatch.com/story/mdu-ups-dividend-for-21st-straight-year-2011-11-17?mod=mw_quote_news,mdu
9,Utility stocks a shelter in rough quarter,,https://www.marketwatch.com/story/utility-stocks-a-shelter-in-rough-quarter-2011-09-30?mod=mw_quote_news,mdu
10,Power stocks for making portfolios sizzle,2011-07-21 19:11:00,https://www.marketwatch.com/story/power-stocks-for-making-portfolios-sizzle-2011-07-21?mod=mw_quote_news,mdu
11,"Exxon, Valero rebound, energy stocks up",2011-06-27 16:11:00,https://www.marketwatch.com/story/chesapeake-falls-as-energy-stocks-retreat-2011-06-27?mod=mw_quote_news,mdu
12,National grid plan presents super-sized headache,2009-07-09 16:21:00,https://www.marketwatch.com/story/power-showdown-looms-over-new-utility-lines?mod=mw_quote_news,mdu
13,Pickens drops giant bid for wind farms,2009-07-07 15:49:00,https://www.marketwatch.com/story/pickens-scraps-giant-wind-farm-plans?mod=mw_quote_news,mdu
14,How to help your portfolio under Obama,2009-01-21 17:21:00,https://www.marketwatch.com/story/how-to-help-your-portfolio-under-obama?mod=mw_quote_news,mdu
15,"MYR Group goes public, quietly",2008-12-12 12:35:00,https://www.marketwatch.com/story/grid-infrastructure-firm-myr-group?mod=mw_quote_news,mdu
16,MDU Resources board raises quarterly dividend 6.9%,2008-08-14 12:42:00,https://www.marketwatch.com/story/mdu-resources-board-raises-quarterly-dividend-69-20088141242260?mod=mw_quote_news,mdu
17,MDU Resources board raises quarterly dividend 6.9%,2008-08-14 12:42:00,https://www.marketwatch.com/story/mdu-resources-board-raises-quarterly-dividend-69?mod=mw_quote_news,mdu
