,Headline,Date,URL,Company
0,How Biden’s New Student Loan Relief Plan Works,2023-01-10 17:43:00,https://www.marketwatch.com/articles/biden-student-loan-repayment-plan-51673390595?mod=mw_quote_news,navi
1,Federal Judge Strikes Down Biden Student Debt Relief Program. What That Means for Navient.,2022-11-11 09:56:00,https://www.marketwatch.com/articles/federal-judge-strikes-down-biden-student-debt-relief-program-what-that-means-for-navient-51668178593?mod=mw_quote_news,navi
2,"Musk Twitter Firings Carry Legal Risk for Newly Private Platform, Lawyers Say",2022-11-01 12:00:00,https://www.marketwatch.com/articles/musk-twitter-firings-legal-risk-51667318389?mod=mw_quote_news,navi
3,"JPMorgan downgrades Discover Financial, Rocket Mortgage, Enact Holdings as it eyes interest rate hikes",,https://www.marketwatch.com/story/jpmorgan-downgrades-discover-financial-rocket-mortgage-enact-holdings-as-it-eyes-interest-rate-hikes-11662465132?mod=mw_quote_news,navi
4,"‘Student-loan socialism’ — Republicans blast Biden’s debt-forgiveness move, as Democrats praise his ‘effective action’",2022-08-24 13:47:00,https://www.marketwatch.com/story/student-loan-socialism-republicans-blast-bidens-debt-forgiveness-move-as-democrats-praise-his-effective-action-11661363272?mod=mw_quote_news,navi
5,"Biden Forgives Up to $20,000 in Student Loan Debt. What It Means for Nelnet and Navient.",2022-08-24 09:11:00,https://www.marketwatch.com/articles/student-loan-debt-biden-nelnet-navient-51661346637?mod=mw_quote_news,navi
6,Biden official says administration ‘still looking’ at canceling student loans,2022-06-06 15:06:00,https://www.marketwatch.com/story/biden-official-says-administration-still-looking-at-canceling-student-loans-11654542418?mod=mw_quote_news,navi
7,Here’s how Biden could move to cancel student loans,2022-05-02 17:02:00,https://www.marketwatch.com/story/heres-how-biden-could-move-to-cancel-student-loans-11651525343?mod=mw_quote_news,navi
8,"Navient, Points.com, and Nielsen Stock See Action From Activist Investors",2022-04-22 17:45:00,https://www.marketwatch.com/articles/navient-points-com-and-nielsen-stock-see-action-from-activist-investors-51650663902?mod=mw_quote_news,navi
9,"American Express stock drops after J.P. Morgan downgrades, citing valuation and increased recession probability",2022-04-11 09:35:00,https://www.marketwatch.com/story/american-express-stock-drops-after-jp-morgan-downgrades-citing-valuation-and-increased-economic-uncertainty-2022-04-11?mod=mw_quote_news,navi
10,"Nielsen Holdings, Navient, and Other Stocks See Action From Activist Investors",2022-03-25 18:27:00,https://www.marketwatch.com/articles/nielsen-holdings-navient-and-other-stocks-see-action-from-activist-investors-51648247235?mod=mw_quote_news,navi
11,Bond market looks past Navient’s $1.85 billion student-loan settlement,2022-01-14 16:39:00,https://www.marketwatch.com/story/bond-market-looks-past-navients-1-85-billion-student-loan-settlement-11642196408?mod=mw_quote_news,navi
12,Navient to pay $145 million to settle litigation with state attorneys general,2022-01-13 11:44:00,https://www.marketwatch.com/story/navient-to-pay-145-million-to-settle-litigation-with-state-attorneys-general-2022-01-13?mod=mw_quote_news,navi
13,Navient announces new $1 billion share buyback authorization,2021-12-13 08:35:00,https://www.marketwatch.com/story/navient-announces-new-1-billion-share-buyback-authorization-2021-12-13?mod=mw_quote_news,navi
14,Navient Is Leaving the Federal Student-Loan Business. Its Stock Is Getting Crushed.,,https://www.marketwatch.com/articles/navient-is-leaving-the-federal-student-loan-business-its-stock-is-getting-crushed-51632946911?mod=mw_quote_news,navi
15,Cancel student debt? This chart breaks down who owes what,2020-12-15 15:31:00,https://www.marketwatch.com/story/cancel-student-debt-this-chart-breaks-down-who-owes-what-11608064316?mod=mw_quote_news,navi
