,Headline,Date,URL,Company
0,ServiceNow stock dubbed top software pick at Macquarie,2022-11-02 15:39:00,https://www.marketwatch.com/story/servicenow-stock-dubbed-top-software-pick-at-macquarie-2022-11-02?mod=mw_quote_news,ncno
1,Bank Software Firm Alkami Could Raise $150 Million in IPO,2021-04-05 10:59:00,https://www.marketwatch.com/articles/bank-software-firm-alkami-could-raise-150-million-in-ipo-51617634790?mod=mw_quote_news,ncno
2,"NCino's Q3 loss widens, company raises outlook",2020-12-09 16:35:00,https://www.marketwatch.com/story/ncinos-q3-loss-widens-company-raises-outlook-2020-12-09?mod=mw_quote_news,ncno
3,Fenergo Seeks Private Sale After Weighing IPO,2020-11-17 16:03:00,https://www.marketwatch.com/articles/financial-software-seller-fenergo-might-be-sold-instead-of-going-public-51605647005?mod=mw_quote_news,ncno
4,Opinion: IPO like it’s 1999: Snowflake and other software stocks pop as market nears dot-com-boom levels,,https://www.marketwatch.com/story/ipo-like-its-1999-market-hitting-dot-com-boom-levels-as-snowflake-and-other-cloud-software-stocks-keep-popping-2020-09-17?mod=mw_quote_news,ncno
5,"Salesforce Stock Is Surging on Strong Earnings, Sparking a Cloud Rally",2020-08-26 13:22:00,https://www.marketwatch.com/articles/salesforce-stock-surging-strong-earnings-cloud-rally-51598462314?mod=mw_quote_news,ncno
6,Salesforce Stock Is Soaring Because That Wasn’t Just Any Earnings Beat,2020-08-25 17:47:00,https://www.marketwatch.com/articles/salesforce-stock-soars-on-second-quarter-earnings-51598392028?mod=mw_quote_news,ncno
7,Salesforce’s Big Gain and What Really Matters on Wall Street,2020-08-26 08:05:00,https://www.marketwatch.com/articles/salesforces-big-gain-and-what-really-matters-on-wall-street-51598443520?mod=mw_quote_news,ncno
8,An Airbnb Investor Makes the Case for Why It’s a Good Time to Go Public,2020-08-24 19:25:00,https://www.marketwatch.com/articles/airbnb-investor-says-company-picked-good-time-to-go-public-51598311527?mod=mw_quote_news,ncno
9,This 8-Year-Old Health Care Start-up Has a Market Cap of $9 Billion. Here’s What Happened.,2020-08-06 17:06:00,https://www.marketwatch.com/articles/oak-street-health-nearly-doubled-in-its-ipo-51596747992?mod=mw_quote_news,ncno
10,GoodRx May Be Looking to Go Public. What You Need to Know.,2020-08-03 13:24:00,https://www.marketwatch.com/articles/goodrx-may-be-looking-to-go-public-what-you-need-to-know-51596475456?mod=mw_quote_news,ncno
11,"IPOs NCino, Lemonade and ZoomInfo Are Hot. Here’s How IPOs Came Back From Covid-19.",2020-07-28 17:14:00,https://www.marketwatch.com/articles/ipos-ncino-lemonade-and-zoominfo-are-hot-heres-how-ipos-came-back-from-covid-19-51595970853?mod=mw_quote_news,ncno
12,Tech Finally Took It on the Chin. Why Its Reversal Is Worrisome.,2020-07-17 20:38:00,https://www.marketwatch.com/articles/dow-jones-industrial-average-just-had-a-good-week-the-nasdaq-did-not-51595032679?mod=mw_quote_news,ncno
13,How Does the Banking Crisis Impact nCino?,2023-04-02 07:35:00,https://www.fool.com/investing/2023/04/02/how-does-the-banking-crisis-impact-ncino/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,ncno
