,Headline,Date,URL,Company
0,Raymond James downgrades title company Old Republic as mortgage refinancing cools,2022-04-29 08:43:00,https://www.marketwatch.com/story/raymond-james-downgrades-title-company-old-republic-as-mortgage-refinancing-cools-2022-04-29?mod=mw_quote_news,ori
1,Afraid of sky-high stock valuations? These ‘Dividend Aristocrats’ have yields over 3%,2020-01-18 09:51:00,https://www.marketwatch.com/story/afraid-of-sky-high-stock-valuations-these-dividend-aristocrats-have-yields-over-3-2020-01-14?mod=mw_quote_news,ori
2,Opinion: 30 momentum stocks that are actually cheap enough to buy,2019-12-12 14:23:00,https://www.marketwatch.com/story/30-momentum-stocks-that-are-actually-cheap-enough-to-buy-2019-12-02?mod=mw_quote_news,ori
3,Dozens of Dividend Aristocrat stock have been big winners in 2019,2019-07-28 09:52:00,https://www.marketwatch.com/story/heres-how-all-the-dividend-aristocrat-stocks-have-performed-this-year-2019-07-25?mod=mw_quote_news,ori
4,Old Republic International swings to loss,2019-01-24 11:56:00,https://www.marketwatch.com/story/old-republic-international-swings-to-loss-2019-01-24-114855656?mod=mw_quote_news,ori
5,These ‘Dividend Aristocrat’ stocks rack up double-digit sales growth,2017-05-23 13:09:00,https://www.marketwatch.com/story/these-dividend-aristocrat-stocks-rack-up-double-digit-sales-growth-2017-05-16?mod=mw_quote_news,ori
6,10 ‘Dividend Aristocrat’ stocks expected to rise up to 22% as you get paid to wait,2017-02-02 11:21:00,https://www.marketwatch.com/story/10-dividend-aristocrat-stocks-expected-to-rise-up-to-22-as-you-get-paid-to-wait-2017-01-25?mod=mw_quote_news,ori
7,These ‘Dividend Aristocrat’ stocks have risen up to 24% a year for a decade,2016-03-11 07:45:00,https://www.marketwatch.com/story/these-dividend-aristocrat-stocks-have-risen-up-to-24-a-year-for-a-decade-2016-03-01?mod=mw_quote_news,ori
8,13 ‘Dividend Aristocrat’ stocks with yields over 4%,2015-11-25 15:42:00,https://www.marketwatch.com/story/13-dividend-aristocrat-stocks-with-yields-over-4-2015-11-19?mod=mw_quote_news,ori
9,15 ‘high-quality’ dividend stocks with yields of up to 13%,2015-06-26 06:59:00,https://www.marketwatch.com/story/15-high-quality-dividend-stocks-with-yields-of-up-to-13-2015-06-16?mod=mw_quote_news,ori
10,Old Republic reports narrowed quarterly loss,2012-10-25 13:07:00,https://www.marketwatch.com/story/old-republic-reports-narrowed-quarterly-loss-2012-10-25?mod=mw_quote_news,ori
11,5 dividend stocks that insiders like,2012-10-18 06:01:00,https://www.marketwatch.com/story/5-dividend-stocks-that-insiders-like-2012-10-18?mod=mw_quote_news,ori
12,Monday’s biggest gaining and declining stocks,2012-06-25 16:44:00,https://www.marketwatch.com/story/mondays-biggest-gaining-and-declining-stocks-2012-06-25?mod=mw_quote_news,ori
13,Dividend-paying stocks worth paying for,2012-06-22 00:30:00,https://www.marketwatch.com/story/dividend-paying-stocks-worth-paying-for-2012-06-22?mod=mw_quote_news,ori
14,Tuesday’s biggest gaining and declining stocks,2012-05-22 17:06:00,https://www.marketwatch.com/story/tuesdays-biggest-gaining-and-declining-stocks-2012-05-22?mod=mw_quote_news,ori
15,Old Republic plans spinoff of RFIG unit,2012-05-22 13:49:00,https://www.marketwatch.com/story/old-republic-plans-spinoff-of-rfig-unit-2012-05-22?mod=mw_quote_news,ori
16,Old Republic swings to profit on investment gains,2012-01-26 09:53:00,https://www.marketwatch.com/story/old-republic-swings-to-profit-on-investment-gains-2012-01-26?mod=mw_quote_news,ori
17,"Brady, Old Republic climb on index moves",2011-12-02 14:01:00,https://www.marketwatch.com/story/brady-old-republic-climb-on-index-moves-2011-12-02?mod=mw_quote_news,ori
