,Headline,Date,URL,Company
0,"Open Text Corp. stock rises Thursday, outperforms market",2023-04-20 16:33:00,https://www.marketwatch.com/data-news/open-text-corp-stock-rises-thursday-outperforms-market-e8f659cc-12ff02ea887f?mod=mw_quote_news,otex
1,"Open Text Corp. stock falls Wednesday, underperforms market",2023-04-19 16:33:00,https://www.marketwatch.com/data-news/open-text-corp-stock-falls-wednesday-underperforms-market-ba07b2ab-53c684ea16a7?mod=mw_quote_news,otex
2,"Open Text Corp. stock falls Tuesday, underperforms market",2023-04-18 16:33:00,https://www.marketwatch.com/data-news/open-text-corp-stock-falls-tuesday-underperforms-market-cd00823d-87a1e9d13fed?mod=mw_quote_news,otex
3,"Open Text Corp. stock falls Monday, underperforms market",2023-04-17 16:33:00,https://www.marketwatch.com/data-news/open-text-corp-stock-falls-monday-underperforms-market-5dbf9fac-325cc2745dbe?mod=mw_quote_news,otex
4,"Open Text Corp. stock falls Friday, underperforms market",2023-04-14 16:33:00,https://www.marketwatch.com/data-news/open-text-corp-stock-falls-friday-underperforms-market-c4b6ce16-b584d4dfc1eb?mod=mw_quote_news,otex
5,Open Text plans to acquire Micro Focus at $6 billion valuation,2022-08-25 17:44:00,https://www.marketwatch.com/story/open-text-plans-to-acquire-micro-focus-at-6-billion-valuation-2022-08-25?mod=mw_quote_news,otex
6,Open Text to Acquire Email Encryption Company Zix at a Discount,2021-11-08 09:58:00,https://www.marketwatch.com/articles/open-text-zix-acquisition-stock-price-51636383454?mod=mw_quote_news,otex
7,Open Text to Buy Zix Corp. in $860 Million Deal,2021-11-08 08:53:00,https://www.marketwatch.com/story/open-text-to-buy-zix-corp-in-860-million-deal-271636379595?mod=mw_quote_news,otex
8,"OpenText to buy Zix at a price representing a 2.7% discount, that values Zix at nearly $484 million",2021-11-08 08:45:00,https://www.marketwatch.com/story/opentext-to-buy-zix-at-a-price-representing-a-27-discount-that-values-zix-at-nearly-484-million-2021-11-08?mod=mw_quote_news,otex
9,UPDATE: Cybersecurity company Carbonite to be acquired by OpenText in $1.42 billion cash deal,2019-11-11 09:55:00,https://www.marketwatch.com/story/cybersecurity-company-carbonite-to-be-acquired-by-opentext-in-142-billion-cash-deal-2019-11-11?mod=mw_quote_news,otex
10,"The University of Notre Dame Bought Up Netflix Stock, and Sold Microsoft and Alphabet",2019-08-25 07:30:00,https://www.marketwatch.com/articles/university-notre-dame-netflix-stock-sold-microsoft-alphabet-51566495376?mod=mw_quote_news,otex
11,"Charting another trade-fueled whipsaw, S&P 500 hesitates at 50-day average",2019-05-20 11:37:00,https://www.marketwatch.com/story/charting-another-trade-fueled-whipsaw-sp-500-hesitates-at-50-day-average-2019-05-20?mod=mw_quote_news,otex
12,Open Text shares fall as revenue comes up short,2018-10-31 17:02:00,https://www.marketwatch.com/story/open-text-shares-fall-as-revenue-comes-up-short-2018-10-31?mod=mw_quote_news,otex
13,Open Text's stock drops on earnings miss,2018-05-09 16:44:00,https://www.marketwatch.com/story/open-texts-stock-drops-on-earnings-miss-2018-05-09?mod=mw_quote_news,otex
14,Sandell Asset Management Studies Barnes & Noble,2017-07-29 00:32:00,http://www.marketwatch.com/articles/sandell-asset-management-studies-barnes-noble-1501302737?mod=mw_quote_news,otex
