,Headline,Date,URL,Company
0,"PepsiCo Inc. stock falls Wednesday, underperforms market",2023-04-19 17:16:00,https://www.marketwatch.com/data-news/pepsico-inc-stock-falls-wednesday-underperforms-market-821779d7-ed0538c97fca?mod=mw_quote_news,pep
1,"PepsiCo Inc. stock rises Tuesday, outperforms market",2023-04-18 17:16:00,https://www.marketwatch.com/data-news/pepsico-inc-stock-rises-tuesday-outperforms-market-f5104941-f3ff286d7d9a?mod=mw_quote_news,pep
2,"PepsiCo Inc. stock rises Monday, outperforms market",2023-04-17 17:16:00,https://www.marketwatch.com/data-news/pepsico-inc-stock-rises-monday-outperforms-market-65af54d0-a8fb9f6b2066?mod=mw_quote_news,pep
3,PepsiCo Inc. stock underperforms Friday when compared to competitors,2023-04-14 17:16:00,https://www.marketwatch.com/data-news/pepsico-inc-stock-underperforms-friday-when-compared-to-competitors-fca6056a-63f2e6d65fe8?mod=mw_quote_news,pep
4,"PepsiCo Inc. stock rises Thursday, still underperforms market",2023-04-13 17:16:00,https://www.marketwatch.com/data-news/pepsico-inc-stock-rises-thursday-still-underperforms-market-62c290c9-058088cc719b?mod=mw_quote_news,pep
5,Ukraine’s prime minister urges U.S. companies to join $411 billion reconstruction effort,2023-04-13 12:48:00,https://www.marketwatch.com/story/ukraines-prime-minister-urges-u-s-companies-to-join-411-billion-reconstruction-effort-debed1d0?mod=mw_quote_news,pep
6,PepsiCo Invests Over $200 Million in Partnerships With Farmer Groups,2023-03-21 09:32:00,https://www.marketwatch.com/story/pepsico-invests-over-200-million-in-partnerships-with-farmer-groups-cf44bf8f?mod=mw_quote_news,pep
7,Starbucks Gets a New CEO Earlier Than It Had Planned,2023-03-20 09:18:00,https://www.marketwatch.com/articles/starbucks-stock-price-ceo-narasimhan-schultz-82a47418?mod=mw_quote_news,pep
8,Stocks for Market Turmoil: Consumer Staples,2023-03-17 21:10:00,https://www.marketwatch.com/articles/stocks-for-market-turmoil-consumer-staples-74cf162c?mod=mw_quote_news,pep
9,Olive Garden Can Thrive in a Recession. Buy Darden Stock.,2023-03-15 01:00:00,https://www.marketwatch.com/articles/buy-darden-olive-garden-stock-price-pick-fac72280?mod=mw_quote_news,pep
10,Why Procter & Gamble and Other Consumer Staple Stocks Are Suddenly Back in Style,2023-03-14 15:55:00,https://www.marketwatch.com/articles/consumer-staple-stocks-procter-gamble-pepsi-colgate-8abf0fbb?mod=mw_quote_news,pep
11,Why Mondelez Thinks Oreos Can Be the Coca-Cola of Cookiedom,2023-02-24 18:55:00,https://www.marketwatch.com/articles/why-mondelez-thinks-oreos-can-be-the-coca-cola-of-cookiedom-2a9f8ac6?mod=mw_quote_news,pep
12,‘Ukraine is open for business’: Western companies urged to be part of country’s recovery,2023-02-24 08:18:00,https://www.marketwatch.com/story/ukraine-is-open-for-business-western-companies-urged-to-be-part-of-ukrainian-recovery-81ea2a42?mod=mw_quote_news,pep
13,Mondelez’s Latest Update Shows Cookies Are Still Bringing In Cash. What It Means for the Stock.,2023-02-22 12:36:00,https://www.marketwatch.com/articles/mondelez-international-stock-outlook-da45f2d7?mod=mw_quote_news,pep
14,"Pepsi or Coke? No, Buy Keurig Dr Pepper Stock Now.",2023-02-22 03:00:00,https://www.marketwatch.com/articles/buy-keurig-dr-pepper-stock-price-pick-5ff6d01?mod=mw_quote_news,pep
15,Cheap New Plastic Is Choking the World. ‘It’s a Recipe for Disaster.’,2023-02-17 01:30:00,https://www.marketwatch.com/articles/cheap-new-plastic-choking-the-world-9b318936?mod=mw_quote_news,pep
16,Kraft Heinz Gets Earnings Bump on Higher Prices but Its Outlook Disappoints,2023-02-15 08:05:00,https://www.marketwatch.com/articles/kraft-heinz-stock-earnings-sales-prices-revenue-3e370dde?mod=mw_quote_news,pep
17,"Stars of this year’s Super Bowl ads: Serena Williams, Kevin Hart and John Travolta",2023-02-03 15:30:00,https://www.marketwatch.com/story/watch-super-bowl-2023-ads-and-trailers-more-caddyshack-and-clueless-than-crypto-11675456255?mod=mw_quote_news,pep
18,Why Pepsi Earnings Are Good News for Coke Stock,2023-02-09 15:10:00,https://www.marketwatch.com/articles/pepsi-earnings-good-news-coca-cola-stock-51675972359?mod=mw_quote_news,pep
19,Monster Beverage Lost Energy Last Month,2017-01-11 18:04:00,http://www.marketwatch.com/articles/monster-beverage-lost-energy-last-month-1484175885?mod=mw_quote_news,pep
20,"Up 19% in 2023, Is It Safe to Invest in the Nasdaq Right Now?",2023-04-16 02:45:00,https://www.fool.com/investing/2023/04/16/up-18-in-2023-is-it-safe-to-invest-in-the-nasdaq-r/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pep
21,Why Nikola Stock Got Crushed This Week,2023-04-14 03:48:00,https://www.fool.com/investing/2023/04/14/why-nikola-stock-got-crushed-this-week/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pep
22,Best Dividend Stock to Buy: Coca-Cola vs. Pepsi vs. Dr. Pepper,2023-04-14 02:00:00,https://www.fool.com/investing/2023/04/14/best-dividend-stock-to-buy-coca-cola-vs-pepsi-vs-d/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pep
23,2 Dividend Stocks That Will Pay You for Life,2023-04-14 00:35:00,https://www.fool.com/investing/2023/04/14/2-dividend-stocks-that-will-pay-you-for-life/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pep
24,Want to Retire Early? This Stock Could Help You Do That,2023-04-13 03:30:00,https://www.fool.com/investing/2023/04/13/want-to-retire-early-this-stock-could-help-you-do/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pep
25,Looking for Some Stability? Look No Further Than This Dividend Stock,2023-04-13 00:11:00,https://www.fool.com/investing/2023/04/13/looking-stability-dividend-king-pepsico-stock/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pep
26,Is PepsiCo Stock a Buy in 2023?,2023-04-12 03:15:00,https://www.fool.com/investing/2023/04/12/is-pepsico-stock-a-buy-in-2023/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pep
