,Headline,Date,URL,Company
0,Newell’s Revenue Forecast Missed the Mark. Blame a Divestiture and Yankee Candle Closures,2022-02-11 07:59:00,https://www.marketwatch.com/articles/newell-stock-earnings-revenue-51644584288?mod=mw_quote_news,rezi
1,Newell announces $375 million share repurchase program after divestiture of connected home business,2022-02-07 08:35:00,https://www.marketwatch.com/story/newell-announced-375-million-share-repurchase-program-after-divestiture-of-connected-home-business-2022-02-07?mod=mw_quote_news,rezi
2,"Lazydays, Ruth’s Hospitality, Resideo, and SoFi See Action From Activist Investors",2021-12-03 14:06:00,https://www.marketwatch.com/articles/lazydays-ruths-hospitality-resideo-and-sofi-see-action-from-activist-investors-51638558394?mod=mw_quote_news,rezi
3,Seagate Stock Is Falling. Morgan Stanley Gets Cautious on Hardware.,2021-10-06 10:51:00,https://www.marketwatch.com/articles/seagate-stock-hardware-51633531742?mod=mw_quote_news,rezi
4,"Janux Therapeutics, Strattec Security See Activist Action",2021-06-25 21:32:00,https://www.marketwatch.com/articles/janux-therapeutics-strattec-security-see-activist-action-51624671121?mod=mw_quote_news,rezi
5,Former federal prosecutor among those asking whether Republican lawmakers misled the public on coronavirus as they sold stocks,2020-03-19 23:15:00,https://www.marketwatch.com/story/former-federal-prosecutor-among-those-questioning-if-republican-lawmakers-misled-on-coronavirus-then-sold-stock-2020-03-19?mod=mw_quote_news,rezi
6,"Argo Group, Tivity Health, Horizon Global, and Other 13D Filings",2019-12-27 19:53:00,https://www.marketwatch.com/articles/13d-filings-by-argo-group-tivity-health-and-others-51577494385?mod=mw_quote_news,rezi
7,Opinion: 10 stocks to buy as they get hit by year-end tax-loss selling,2019-12-21 10:57:00,https://www.marketwatch.com/story/10-stocks-to-buy-as-they-get-hit-by-year-end-tax-loss-selling-2019-12-18?mod=mw_quote_news,rezi
8,"Pershing Square Takes Stake in Agilent. Plus Resideo, Rocket Pharma,  and 9 Other 13D Filings",2019-12-20 20:15:00,https://www.marketwatch.com/articles/resideo-rocket-pharma-gtt-and-8-other-13d-filings-51576890901?mod=mw_quote_news,rezi
9,Hard Investing Lessons From a Painful Small-Cap Stock Pick,2019-10-24 05:27:00,https://www.marketwatch.com/articles/resideo-technologies-stock-teaches-investors-some-hard-lessons-51571913002?mod=mw_quote_news,rezi
10,Honeywell Reports Earnings Tomorrow. Here’s What to Expect.,2019-10-16 06:00:00,https://www.marketwatch.com/articles/honeywell-reports-earnings-tomorrow-heres-what-to-expect-51571220000?mod=mw_quote_news,rezi
11,Honeywell Believes in the Future of Smart Manufacturing,,https://www.marketwatch.com/articles/honeywell-stock-smart-manufacturing-51568308134?mod=mw_quote_news,rezi
12,The U.S. Housing Market Is Fine. A Smart Home Product CEO Explains Why.,2019-08-08 08:31:00,https://www.marketwatch.com/articles/us-housing-market-is-fine-resideo-technologies-ceo-says-51565267390?mod=mw_quote_news,rezi
13,Corteva Stock Is Slumping After DowDuPont Split. It Might Be a Bargain.,2019-06-03 12:32:00,https://www.marketwatch.com/articles/corteva-stock-down-dowdupont-split-bargain-51559579472?mod=mw_quote_news,rezi
14,Software Companies Are Hot. Now Honeywell Wants to Be One.,2019-05-15 11:02:00,https://www.marketwatch.com/articles/honeywell-software-stock-new-strategy-51557932443?mod=mw_quote_news,rezi
15,Resideo Stock Tanks Because the Stock Market Hates Confusion,2019-03-07 10:27:00,https://www.marketwatch.com/articles/resideo-stock-guidance-miss-honeywell-51551972325?mod=mw_quote_news,rezi
16,This Dow Jones Stock Is a Genius Buy for Dividend Growth,2023-02-01 10:49:00,https://www.fool.com/investing/2023/02/01/this-dow-jones-stock-is-a-genius-buy-for-dividend/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,rezi
17,Why Resideo Technologies Stock Is Plummeting Today,2022-11-02 13:03:00,https://www.fool.com/investing/2022/11/02/why-resideo-technologies-stock-is-plummeting-today/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,rezi
