,Headline,Date,URL,Company
0,RenaissanceRe and Other Insurers Are Taking Big Hits From Hurricane Ian,2022-10-20 13:29:00,https://www.marketwatch.com/articles/hurricane-ian-renaissance-stock-insurance-51666286926?mod=mw_quote_news,rnr
1,"Hurricane Ian May Hurt Florida Properties, and Actually Help Insurers",,https://www.marketwatch.com/articles/hurricane-ian-properties-insurers-51664385332?mod=mw_quote_news,rnr
2,"Insurance Industry Can Handle Losses From Hurricane Laura, Analyst Says",2020-08-27 10:22:00,https://www.marketwatch.com/articles/insurance-industry-can-handle-losses-from-hurricane-laura-analyst-says-51598538150?mod=mw_quote_news,rnr
3,Hurricane Dorian May Not Slam Florida. It’s Good News for Reinsurers.,,https://www.marketwatch.com/articles/hurricane-dorian-florida-reinsurers-51567523589?mod=mw_quote_news,rnr
4,Insurance Stocks Are Falling as Hurricane Dorian Heads Toward Florida,2019-08-30 15:10:00,https://www.marketwatch.com/articles/insurance-stocks-fall-hurricane-dorian-florida-51567192186?mod=mw_quote_news,rnr
5,Dozens of Dividend Aristocrat stock have been big winners in 2019,2019-07-28 09:52:00,https://www.marketwatch.com/story/heres-how-all-the-dividend-aristocrat-stocks-have-performed-this-year-2019-07-25?mod=mw_quote_news,rnr
6,"Florence could mean $170 billion of property damage, CoreLogic says",,https://www.marketwatch.com/story/florence-could-mean-170-billion-of-property-damage-corelogic-says-2018-09-11?mod=mw_quote_news,rnr
7,RenaissanceRe sees write down of tax assets after tax bill cutting earnings by $40 million,2017-12-22 08:56:00,https://www.marketwatch.com/story/renaissancere-sees-write-down-of-tax-assets-after-tax-bill-cutting-earnings-by-40-million-2017-12-22?mod=mw_quote_news,rnr
8,P&C Stocks Fall as $100 Billion Irma Loss Feared,,http://www.marketwatch.com/articles/p-c-stocks-fall-as-100-billion-irma-loss-feared-1504818360?mod=mw_quote_news,rnr
9,Hurricane Harvey is still battering insurance stocks and Irma hasn’t even touched land yet,,https://www.marketwatch.com/story/hurricane-harvey-is-still-battering-insurance-stocks-and-irma-hasnt-even-touched-land-yet-2017-09-07?mod=mw_quote_news,rnr
10,Insurance stocks clobbered as investors await loss estimates for hurricane Harvey,2017-08-28 09:56:00,https://www.marketwatch.com/story/insurance-stocks-clobbered-as-investors-await-loss-estimates-for-hurricane-harvey-2017-08-28?mod=mw_quote_news,rnr
11,These ‘Dividend Aristocrat’ stocks rack up double-digit sales growth,2017-05-23 13:09:00,https://www.marketwatch.com/story/these-dividend-aristocrat-stocks-rack-up-double-digit-sales-growth-2017-05-16?mod=mw_quote_news,rnr
12,These ‘Dividend Aristocrat’ stocks have risen up to 24% a year for a decade,2016-03-11 07:45:00,https://www.marketwatch.com/story/these-dividend-aristocrat-stocks-have-risen-up-to-24-a-year-for-a-decade-2016-03-01?mod=mw_quote_news,rnr
