,Headline,Date,URL,Company
0,"Stocks to Watch: Incyte, Sallie Mae",2023-03-03 19:00:00,https://www.marketwatch.com/story/stocks-to-watch-incyte-sallie-mae-8a402ed1?mod=mw_quote_news,slm
1,Sallie Mae Finance Chief McGarry Agrees to Stay Until February 2024,2023-03-03 17:19:00,https://www.marketwatch.com/story/sallie-mae-finance-chief-mcgarry-agrees-to-stay-until-february-2024-6b1ae88c?mod=mw_quote_news,slm
2,Sallie Mae Shares Decline 16% on Unexpected 4Q Loss,2023-02-02 12:25:00,https://www.marketwatch.com/story/sallie-mae-shares-decline-16-on-unexpected-4q-loss-271675358735?mod=mw_quote_news,slm
3,How Biden’s New Student Loan Relief Plan Works,2023-01-10 17:43:00,https://www.marketwatch.com/articles/biden-student-loan-repayment-plan-51673390595?mod=mw_quote_news,slm
4,"Sell American Express, Analyst Says. Even the Rich Spend Less in a Recession.",2022-10-13 12:52:00,https://www.marketwatch.com/articles/sell-american-express-analyst-says-51665679880?mod=mw_quote_news,slm
5,"JPMorgan downgrades Discover Financial, Rocket Mortgage, Enact Holdings as it eyes interest rate hikes",,https://www.marketwatch.com/story/jpmorgan-downgrades-discover-financial-rocket-mortgage-enact-holdings-as-it-eyes-interest-rate-hikes-11662465132?mod=mw_quote_news,slm
6,Gates Foundation Bought More of This Medical Diagnostics Stock,2022-08-05 15:15:00,https://www.marketwatch.com/articles/gates-foundation-bought-more-of-this-medical-diagnostics-stock-51659726944?mod=mw_quote_news,slm
7,"Big Lots, SLM Corp., and Others See Action From Activist Investors",2022-03-18 21:54:00,https://www.marketwatch.com/articles/big-lots-slm-corp-and-others-see-action-from-activist-investors-51647654852?mod=mw_quote_news,slm
8,"US Ecology, Incyte, and Other Stocks See Action From Activist Investors",2022-02-18 20:30:00,https://www.marketwatch.com/articles/us-ecology-incyte-see-activist-action-51645234201?mod=mw_quote_news,slm
9,Jefferies lifts financial stock rating to overweight from market weight,,https://www.marketwatch.com/story/jefferies-lifts-financial-stock-rating-to-overweight-from-2021-09-28?mod=mw_quote_news,slm
10,J. Alexander’s and Sykes Enterprises See Activist Action,2021-07-09 21:05:00,https://www.marketwatch.com/articles/j-alexanders-and-sykes-enterprises-see-activist-action-51625879147?mod=mw_quote_news,slm
11,"Tellurian, Syneos Health See Activist Action",2021-05-14 20:13:00,https://www.marketwatch.com/articles/tellurian-syneos-health-see-activist-action-51621037629?mod=mw_quote_news,slm
12,Cancel student debt? This chart breaks down who owes what,2020-12-15 15:31:00,https://www.marketwatch.com/story/cancel-student-debt-this-chart-breaks-down-who-owes-what-11608064316?mod=mw_quote_news,slm
13,Here’s how a Biden presidency could hurt financial stocks,2020-07-20 16:08:00,https://www.marketwatch.com/story/heres-how-a-biden-presidency-could-hurt-financial-services-stocks-2020-07-20?mod=mw_quote_news,slm
14,Variable rate student loans are near 1%—is this risk right for you?,2020-07-17 05:02:00,https://www.marketwatch.com/story/variable-rate-student-loans-are-near-1is-this-risk-right-for-you-2020-07-16?mod=mw_quote_news,slm
15,"American Express downgraded at J.P. Morgan, as outlook on consumer finance deteriorates",2020-07-15 08:58:00,https://www.marketwatch.com/story/american-express-downgraded-at-jp-morgan-as-outlook-on-consumer-finance-deteriorates-2020-07-15?mod=mw_quote_news,slm
16,The Price of Student Loan Forgiveness Is At Least $74 Billion,2016-12-01 17:18:00,http://www.marketwatch.com/articles/the-price-of-student-loan-forgiveness-is-at-least-74-billion-1480630723?mod=mw_quote_news,slm
