,Headline,Date,URL,Company
0,Sysco Corp. stock underperforms Thursday when compared to competitors,2023-04-20 17:25:00,https://www.marketwatch.com/data-news/sysco-corp-stock-underperforms-thursday-when-compared-to-competitors-56efefa9-f308e50765ad?mod=mw_quote_news,syy
1,"Sysco Corp. stock falls Wednesday, underperforms market",2023-04-19 17:25:00,https://www.marketwatch.com/data-news/sysco-corp-stock-falls-wednesday-underperforms-market-41e04ce-e8260dbec9a5?mod=mw_quote_news,syy
2,"Sysco Corp. stock falls Tuesday, underperforms market",2023-04-18 17:25:00,https://www.marketwatch.com/data-news/sysco-corp-stock-falls-tuesday-underperforms-market-73193458-6ab122730338?mod=mw_quote_news,syy
3,"Sysco Corp. stock rises Monday, outperforms market",2023-04-17 17:25:00,https://www.marketwatch.com/data-news/sysco-corp-stock-rises-monday-outperforms-market-e3a629c9-eb047363ef75?mod=mw_quote_news,syy
4,Sysco Corp. stock underperforms Friday when compared to competitors,2023-04-14 17:25:00,https://www.marketwatch.com/data-news/sysco-corp-stock-underperforms-friday-when-compared-to-competitors-7aaf7873-b7c6315fc12a?mod=mw_quote_news,syy
5,Sysco Workers Go On Strike Amid Contract Negotiations,2023-03-27 18:07:00,https://www.marketwatch.com/story/sysco-workers-go-on-strike-amid-contract-negotiations-7ddcd845?mod=mw_quote_news,syy
6,Sysco Stock Deserves a Place at Your Table,2023-03-10 18:52:00,https://www.marketwatch.com/articles/sysco-stock-deserves-a-place-at-your-table-296e51eb?mod=mw_quote_news,syy
7,Sysco 2Q Sales Rise While Earnings Slide,2023-01-31 08:21:00,https://www.marketwatch.com/story/sysco-2q-sales-rise-while-earnings-slide-271675171310?mod=mw_quote_news,syy
8,"Disney, Coinbase, BioNTech, Rivian, and Other Stocks to Watch This Week",2022-08-07 15:00:00,https://www.marketwatch.com/articles/stocks-to-watch-this-week-disney-coinbase-biontech-rivian-51659898822?mod=mw_quote_news,syy
9,U.S. Stocks Poised to Open Slightly Lower on Monday,2022-08-07 18:29:00,https://www.marketwatch.com/articles/u-s-stocks-poised-to-open-slightly-lower-on-monday-51659911394?mod=mw_quote_news,syy
10,Food distributor Sysco accuses 4 largest beef processors of price fixing,2022-07-07 18:26:00,https://www.marketwatch.com/story/food-distributor-sysco-accuses-4-largest-beef-processors-of-price-fixing-01657232782?mod=mw_quote_news,syy
11,"Companies Are Borrowing Less. That’s Bad for S&P Global, but Not the Stock Market.",2022-06-02 00:30:00,https://www.marketwatch.com/articles/corporate-debt-stock-market-bonds-51654119757?mod=mw_quote_news,syy
12,Sysco shares jump as demand for food away from home grows,2022-05-10 08:29:00,https://www.marketwatch.com/story/sysco-shares-jump-as-demand-for-food-away-from-home-grows-2022-05-10?mod=mw_quote_news,syy
13,"‘It’s a slippery slope’: Some restaurants are no longer making key menu items, and outsourcing everything from onion rings to soup",2022-04-08 15:30:00,https://www.marketwatch.com/story/is-the-food-youre-eating-at-restaurants-from-the-freezer-increasingly-yes-11649446242?mod=mw_quote_news,syy
