,Headline,Date,URL,Company
0,Thermo Fisher Scientific Inc. stock underperforms Wednesday when compared to competitors,2023-04-19 17:26:00,https://www.marketwatch.com/data-news/thermo-fisher-scientific-inc-stock-underperforms-wednesday-when-compared-to-competitors-a989714d-29711c5b9e07?mod=mw_quote_news,tmo
1,"Thermo Fisher Scientific Inc. stock falls Tuesday, underperforms market",2023-04-18 17:26:00,https://www.marketwatch.com/data-news/thermo-fisher-scientific-inc-stock-falls-tuesday-underperforms-market-de8e41db-8aeb75bdf947?mod=mw_quote_news,tmo
2,Thermo Fisher Scientific Inc. stock underperforms Monday when compared to competitors,2023-04-17 17:26:00,https://www.marketwatch.com/data-news/thermo-fisher-scientific-inc-stock-underperforms-monday-when-compared-to-competitors-4e315c4a-2c48c0842afb?mod=mw_quote_news,tmo
3,Thermo Fisher Scientific Inc. stock outperforms competitors despite losses on the day,2023-04-14 17:26:00,https://www.marketwatch.com/data-news/thermo-fisher-scientific-inc-stock-outperforms-competitors-despite-losses-on-the-day-d7380df0-77030d7fd6dd?mod=mw_quote_news,tmo
4,Thermo Fisher Scientific Inc. stock outperforms competitors on strong trading day,2023-04-13 17:26:00,https://www.marketwatch.com/data-news/thermo-fisher-scientific-inc-stock-outperforms-competitors-on-strong-trading-day-495c9853-56c6f7cd611e?mod=mw_quote_news,tmo
5,Thermo Fisher Scientific Expects Revenue Growth to Moderate in 2023,2023-02-01 06:48:00,https://www.marketwatch.com/story/thermo-fisher-scientific-expects-revenue-growth-to-moderate-in-2023-271675252141?mod=mw_quote_news,tmo
6,"Thermo Fisher Scientific 4Q Revenue Climbs, Earnings Slip",2023-02-01 06:34:00,https://www.marketwatch.com/story/thermo-fisher-scientific-4q-revenue-climbs-earnings-slip-271675251259?mod=mw_quote_news,tmo
7,"ADRs End Lower; AstraZeneca, Can-Fite BioPharma Trade Actively",2023-01-24 17:32:00,https://www.marketwatch.com/story/adrs-end-lower-astrazeneca-can-fite-biopharma-trade-actively-271674599538?mod=mw_quote_news,tmo
8,A Davos First-Timer’s Recap on What 4 CEOs Told Us in Switzerland,2023-01-20 19:06:00,https://www.marketwatch.com/articles/davos-ceo-borgwarner-nasdaq-blackstone-thermofisher-51674259347?mod=mw_quote_news,tmo
9,Thermo Fisher Spends $2.6 Billion on Testing Company. It’s an Acquisition Machine.,2022-10-31 07:46:00,https://www.marketwatch.com/articles/thermo-fisher-acquisition-binding-51667216694?mod=mw_quote_news,tmo
10,Thermo Fisher Stock Rises Sharply After a Guidance Boost,2022-04-28 11:00:00,https://www.marketwatch.com/articles/thermo-fisher-scientific-tmo-stock-earnings-51651158014?mod=mw_quote_news,tmo
11,"WHO says omicron subvariant is not stopping global cases from falling, and U.S. nearing 940,000 COVID deaths",2022-02-23 10:15:00,https://www.marketwatch.com/story/who-says-omicron-subvariant-is-not-stopping-global-cases-from-falling-and-u-s-nearing-940-000-covid-deaths-11645629362?mod=mw_quote_news,tmo
12,Moderna and Thermo Fisher enter long-term agreement on large-scale manufacturing of COVID vaccine,2022-02-23 08:36:00,https://www.marketwatch.com/story/moderna-and-thermo-fisher-enter-long-term-agreement-on-large-scale-manufacturing-of-covid-vaccine-2022-02-23?mod=mw_quote_news,tmo
13,"Thermo Fisher stock rallies after big earnings beat, boosted by nearly $2.5 billion in COVID-19 response revenue",2022-02-02 06:13:00,https://www.marketwatch.com/story/thermo-fisher-stock-rallies-after-big-earnings-beat-boosted-by-nearly-25-billion-in-covid-19-response-revenue-2022-02-02?mod=mw_quote_news,tmo
14,Thermo Fisher Beats Earnings Estimates and Boosts Guidance. The Stock Rises.,2021-10-27 13:27:00,https://www.marketwatch.com/articles/thermo-fisher-tmo-stock-earnings-guidance-51635355647?mod=mw_quote_news,tmo
