,Headline,Date,URL,Company
0,Rosetta Stone’s Results Translate Into a Buy Rating,2020-05-08 19:30:00,https://www.marketwatch.com/articles/rosetta-stones-results-translate-into-a-buy-rating-51588980600?mod=mw_quote_news,ugi
1,Dozens of Dividend Aristocrat stock have been big winners in 2019,2019-07-28 09:52:00,https://www.marketwatch.com/story/heres-how-all-the-dividend-aristocrat-stocks-have-performed-this-year-2019-07-25?mod=mw_quote_news,ugi
2,This top analyst isn’t worried about Lyft’s post-IPO stumble — yet,2019-04-02 09:39:00,https://www.marketwatch.com/story/why-lyfts-post-ipo-stumble-has-this-top-analyst-not-panicking----yet-2019-04-02?mod=mw_quote_news,ugi
3,"Walgreens Dives, Quest Gains and 3 More Tuesday Stock Movers",2019-04-02 09:22:00,https://www.marketwatch.com/articles/walgreens-alcoa-lear-stock-movers-51554211272?mod=mw_quote_news,ugi
4,UGI to buy AmeriGas shares it doesn't own for $2.44 billion; UGI slashes EPS guidance,2019-04-02 07:32:00,https://www.marketwatch.com/story/ugi-to-buy-amerigas-shares-it-doesnt-own-for-244-billion-ugi-slashes-eps-guidance-2019-04-02?mod=mw_quote_news,ugi
5,French regulator OKs sale of Total's LPG unit,2015-05-18 07:05:00,https://www.marketwatch.com/story/french-regulators-oks-sale-of-totals-lpg-unit-2015-05-18?mod=mw_quote_news,ugi
6,"UGI, AmeriGas restate 2Q earnings after correction",2013-05-15 09:46:00,https://www.marketwatch.com/story/ugi-amerigas-restate-2q-earnings-after-correction-2013-05-15?mod=mw_quote_news,ugi
7,"UGI, AmeriGas see earnings at high end of outlook",2012-10-16 08:52:00,https://www.marketwatch.com/story/ugi-amerigas-see-earnings-at-high-end-of-outlook-2012-10-16?mod=mw_quote_news,ugi
8,UGI 1st-period net off due to warmer weather,2012-01-25 08:35:00,https://www.marketwatch.com/story/ugi-1st-period-net-off-due-to-warmer-weather-2012-01-25?mod=mw_quote_news,ugi
9,S&P tweaks High Yield Dividend Aristocrats Index,2011-12-02 12:56:00,https://www.marketwatch.com/story/sp-tweaks-high-yield-dividend-aristocrats-index-2011-12-02?mod=mw_quote_news,ugi
10,UGI loss widens on charges; AmeriGas loss widens,2011-11-08 09:11:00,https://www.marketwatch.com/story/ugi-loss-widens-on-charges-amerigas-loss-widens-2011-11-08?mod=mw_quote_news,ugi
11,UGI loss widens on charges; AmeriGas loss widens,2011-11-08 09:11:00,https://www.marketwatch.com/story/ugi-loss-widens-on-charges-amerigas-loss-widens-2011-11-08-91110?mod=mw_quote_news,ugi
