,Headline,Date,URL,Company
0,Verisk Analytics Inc. stock outperforms competitors despite losses on the day,2023-04-19 17:30:00,https://www.marketwatch.com/data-news/verisk-analytics-inc-stock-outperforms-competitors-despite-losses-on-the-day-2fb9669a-4934e34b44a9?mod=mw_quote_news,vrsk
1,Verisk Analytics Inc. stock outperforms competitors on strong trading day,2023-04-18 17:30:00,https://www.marketwatch.com/data-news/verisk-analytics-inc-stock-outperforms-competitors-on-strong-trading-day-58be560c-2c40281d3837?mod=mw_quote_news,vrsk
2,"Verisk Analytics Inc. stock rises Monday, still underperforms market",2023-04-17 17:30:00,https://www.marketwatch.com/data-news/verisk-analytics-inc-stock-rises-monday-still-underperforms-market-c8014b9d-18cff3222028?mod=mw_quote_news,vrsk
3,Verisk Analytics Inc. stock underperforms Friday when compared to competitors,2023-04-14 17:30:00,https://www.marketwatch.com/data-news/verisk-analytics-inc-stock-underperforms-friday-when-compared-to-competitors-51081a27-021d54d9c898?mod=mw_quote_news,vrsk
4,"Verisk Analytics Inc. stock rises Thursday, still underperforms market",2023-04-13 17:29:00,https://www.marketwatch.com/data-news/verisk-analytics-inc-stock-rises-thursday-still-underperforms-market-cf6c8f84-61da42878ac4?mod=mw_quote_news,vrsk
5,Verisk Analytics Sets $2.5 Billion Accelerated Stock Buyback >VRSK,2023-03-07 09:24:00,https://www.marketwatch.com/story/verisk-analytics-sets-2-5-billion-accelerated-stock-buyback-vrsk-81181551?mod=mw_quote_news,vrsk
6,Verisk Analytics stock rallies toward 6-month high after $2.5 billion accelerated stock buyback program announced,2023-03-07 09:15:00,https://www.marketwatch.com/story/verisk-analytics-stock-rallies-toward-6-month-high-after-2-5-billion-accelerated-stock-buyback-program-announced-e6a55093?mod=mw_quote_news,vrsk
7,Verisk to sell Wood Mackenzie energy business for up to $3.3 billion in cash to Veritas Capital,2022-10-31 08:41:00,https://www.marketwatch.com/story/verisk-to-sell-wood-mackenzie-energy-business-for-up-to-33-billion-in-cash-to-veritas-capital-2022-10-31?mod=mw_quote_news,vrsk
8,What to Buy Right Now: 42 Picks From Barron’s Roundtable Pros,2022-07-15 19:25:00,https://www.marketwatch.com/articles/stock-picks-barrons-midyear-roundtable-51657922520?mod=mw_quote_news,vrsk
9,Cargo thieves loaded up during the pandemic. Here are the items they most like to steal.,2022-06-17 07:01:00,https://www.marketwatch.com/story/cargo-thieves-loaded-up-during-the-pandemic-here-are-the-items-they-most-like-to-steal-11655463684?mod=mw_quote_news,vrsk
10,Verisk taps Lee Shavel as new CEO,2022-05-25 09:31:00,https://www.marketwatch.com/story/verisk-taps-lee-shavel-as-new-ceo-2022-05-25?mod=mw_quote_news,vrsk
11,Demand for Electric Vehicles Will Keep Lithium Prices High,2022-03-31 03:15:00,https://www.marketwatch.com/articles/ev-demand-lithium-prices-51648710901?mod=mw_quote_news,vrsk
12,Strong demand for EVs look to contribute to a decade or more shortage for lithium,2022-03-31 14:35:00,https://www.marketwatch.com/story/strong-demand-for-evs-look-to-contribute-to-a-decade-or-more-shortage-for-lithium-11648751740?mod=mw_quote_news,vrsk
13,Verisk's Air Worldwide says insured losses from Hurricane Ida could range from $17 billion to $25 billion,,https://www.marketwatch.com/story/verisks-air-worldwide-says-insured-losses-from-hurricane-ida-could-range-from-17-billion-to-25-billion-2021-09-03?mod=mw_quote_news,vrsk
14,Why Verisk Analytics Stock Jumped 12.1% in March,2023-04-07 07:58:00,https://www.fool.com/investing/2023/04/07/why-verisk-analytics-stock-jumped-121-in-march/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,vrsk
