,Headline,Date,URL,Company
0,"Walgreens Boots Alliance Inc. stock falls Wednesday, underperforms market",2023-04-19 17:31:00,https://www.marketwatch.com/data-news/walgreens-boots-alliance-inc-stock-falls-wednesday-underperforms-market-1f5253a2-deb6625e89c8?mod=mw_quote_news,wba
1,Walgreens Boots Alliance Inc. stock underperforms Tuesday when compared to competitors,2023-04-18 17:31:00,https://www.marketwatch.com/data-news/walgreens-boots-alliance-inc-stock-underperforms-tuesday-when-compared-to-competitors-68556334-9dcd2c16ed08?mod=mw_quote_news,wba
2,Walgreens Boots Alliance Inc. stock outperforms competitors on strong trading day,2023-04-17 17:31:00,https://www.marketwatch.com/data-news/walgreens-boots-alliance-inc-stock-outperforms-competitors-on-strong-trading-day-f8ea7ea5-6e4caee8e427?mod=mw_quote_news,wba
3,"Dow rallies nearly 75 points on gains for shares of Walgreens Boots, Boeing",2023-04-17 15:28:00,https://www.marketwatch.com/data-news/dow-rallies-nearly-75-points-on-gains-for-shares-of-walgreens-boots-boeing-655b52af?mod=mw_quote_news,wba
4,"Walgreens Boots Alliance Inc. stock falls Friday, underperforms market",2023-04-14 17:31:00,https://www.marketwatch.com/data-news/walgreens-boots-alliance-inc-stock-falls-friday-underperforms-market-61e32f1f-3cb40df0bd82?mod=mw_quote_news,wba
5,"Walgreens Boots Alliance Inc. stock rises Thursday, still underperforms market",2023-04-13 17:30:00,https://www.marketwatch.com/data-news/walgreens-boots-alliance-inc-stock-rises-thursday-still-underperforms-market-ff87babc-1e2861e8db92?mod=mw_quote_news,wba
6,Walgreens CEO Rosalind Brewer Bought Up Shares,2023-04-07 14:15:00,https://www.marketwatch.com/articles/walgreens-stock-ceo-rosalind-brewer-buy-953f4ec3?mod=mw_quote_news,wba
7,California will continue paying Walgreens despite abortion-pill dispute,2023-04-09 16:52:00,https://www.marketwatch.com/story/california-will-continue-paying-walgreens-despite-abortion-pill-dispute-c30cb519?mod=mw_quote_news,wba
8,"Walgreens, Kraft Heinz, and 3 Other Staples Stocks That Should Hold Up in a Recession",2023-04-05 02:00:00,https://www.marketwatch.com/articles/walgreens-kraft-heinz-altria-stock-price-staples-economy-d540cf6f?mod=mw_quote_news,wba
9,"Walgreens Stock Climbs on FY Guidance, Earnings Beat",2023-03-28 14:08:00,https://www.marketwatch.com/story/walgreens-stock-climbs-on-fy-guidance-earnings-beat-3b50ab50?mod=mw_quote_news,wba
10,Walgreens Stock Rises as Profit Tops Estimates. It’s Seeing Strong Core Growth.,2023-03-28 07:18:00,https://www.marketwatch.com/articles/walgreens-earnings-stock-price-fa19843b?mod=mw_quote_news,wba
11,"Walgreens stock rallies after profit and sales beat expectations, helped by an acceleration of business in February",2023-03-28 07:12:00,https://www.marketwatch.com/story/walgreens-stock-rallies-after-profit-and-sales-beat-expectations-helped-by-an-acceleration-of-business-in-february-5e89869?mod=mw_quote_news,wba
12,"Lululemon, Intel, Carnival, Micron, Walgreens, and More Stocks to Watch This Week",2023-03-26 15:00:00,https://www.marketwatch.com/articles/stocks-to-watch-lululemon-intel-carnival-micron-walgreens-23a0fe5d?mod=mw_quote_news,wba
13,"Chevron, Goldman and JPMorgan Chase lead all 30 Dow stocks lower",2023-03-24 07:08:00,https://www.marketwatch.com/story/chevron-goldman-and-jpmorgan-chase-lead-all-30-dow-stocks-lower-70b2bb90?mod=mw_quote_news,wba
14,"All 30 Dow stocks are falling, led by financial sector members Goldman, Travelers, JPMorgan Chase",2023-03-15 07:32:00,https://www.marketwatch.com/story/all-30-dow-stocks-are-falling-led-by-financial-sector-members-goldman-travelers-jpmorgan-chase-2f3c1a7d?mod=mw_quote_news,wba
15,California drops $54 million contract with Walgreens over abortion-pill access,2023-03-08 20:17:00,https://www.marketwatch.com/story/california-drops-54-million-contract-with-walgreens-over-abortion-pill-access-354350?mod=mw_quote_news,wba
16,Elon Musk’s ‘Very Close’ Friend Larry Ellison and Kathleen Wilson-Thompson Join Tesla’s Board,2018-12-28 11:03:00,https://www.marketwatch.com/articles/elon-musks-very-close-friend-larry-ellison-and-kathleen-wilson-thompson-join-teslas-board-51546013002?mod=mw_quote_news,wba
17,How Safe Is Walgreens' Dividend in 2023?,2023-04-17 04:31:00,https://www.fool.com/investing/2023/04/17/how-safe-is-walgreens-dividend-in-2023/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
18,2 High-Yield Dow Stocks That Are Screaming Buys and 1 That Isn't Worth Your Money,2023-04-12 23:06:00,https://www.fool.com/investing/2023/04/13/2-high-yield-dow-stocks-screaming-buys-1-to-avoid/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
19,Will Walgreens Be the Next Big Stock to Cut Its Dividend?,2023-04-11 03:20:00,https://www.fool.com/investing/2023/04/11/will-walgreens-be-next-stock-cut-dividend/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
20,Better Growth Stock: CVS Health vs. Walgreens Boots Alliance,2023-04-10 03:00:00,https://www.fool.com/investing/2023/04/10/better-growth-stock-cvs-health-vs-walgreens-boots/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
21,2 Popular Dividend Stocks That Aren't as Safe as They Seem,2023-04-09 03:45:00,https://www.fool.com/investing/2023/04/09/2-dividend-stocks-that-arent-as-safe-as-they-seem/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
22,4 Time-Tested Stocks That Can Safely Double Your Money by 2028,2023-04-08 23:21:00,https://www.fool.com/investing/2023/04/09/4-stocks-that-can-safely-double-your-money-by-2028/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
23,"Inflation Data, Disney Layoffs, Moderna's Prospects, and More Market News",2023-04-08 01:30:00,https://www.fool.com/investing/2023/04/08/inflation-data-disney-layoffs-modernas-prospects-a/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
24,Better Dividend Growth Stock In 2023: Walgreens vs. CVS,2023-04-06 04:23:00,https://www.fool.com/investing/2023/04/06/better-dividend-growth-stock-walgreens-vs-cvs/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
25,"3 Magnificent Dividend Stocks That Can Safely Turn $300,000 Into $1 Million by 2035",2023-04-05 23:21:00,https://www.fool.com/investing/2023/04/06/3-stocks-safely-turn-300000-into-1-million-by-2035/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
26,2 Stocks That Outperformed the S&P During the Great Recession (and 2 That Bombed),2023-04-05 04:00:00,https://www.fool.com/investing/2023/04/05/2-stocks-that-outperformed-the-sp-during-the-great/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
27,Walgreens Boots Alliance Is Near Its 10-Year Low: Is It a Bargain or Bust?,2023-04-05 03:00:00,https://www.fool.com/investing/2023/04/05/walgreens-is-near-its-10-year-low-is-it-a-bargain/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
28,Best Pharmacy Stock to Buy Right Now,2023-04-05 02:15:00,https://www.fool.com/investing/2023/04/05/best-pharmacy-stock-to-buy-right-now/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,wba
