,Headline,Date,URL,Company
0,Ansys Inc. stock outperforms market on strong trading day,2023-04-19 16:37:00,https://www.marketwatch.com/data-news/ansys-inc-stock-outperforms-market-on-strong-trading-day-dbf4e36d-4754df03a3ea?mod=mw_quote_news,anss
1,"Ansys Inc. stock rises Tuesday, outperforms market",2023-04-18 16:37:00,https://www.marketwatch.com/data-news/ansys-inc-stock-rises-tuesday-outperforms-market-acf3d3fb-3a125dbadd5e?mod=mw_quote_news,anss
2,"Ansys Inc. stock rises Monday, outperforms market",2023-04-17 16:37:00,https://www.marketwatch.com/data-news/ansys-inc-stock-rises-monday-outperforms-market-3c4cce6a-18772a7dc8fd?mod=mw_quote_news,anss
3,"Ansys Inc. stock falls Friday, underperforms market",2023-04-14 16:37:00,https://www.marketwatch.com/data-news/ansys-inc-stock-falls-friday-underperforms-market-a5459fd0-bfe10218116d?mod=mw_quote_news,anss
4,"Ansys Inc. stock rises Thursday, still underperforms market",2023-04-13 16:37:00,https://www.marketwatch.com/data-news/ansys-inc-stock-rises-thursday-still-underperforms-market-3b210a73-9e11671c32bd?mod=mw_quote_news,anss
5,Analysts Are Anxious About Citrix Stock. Here’s Why.,2021-10-07 12:00:00,https://www.marketwatch.com/articles/citrix-stock-price-ceos-analysts-51633622407?mod=mw_quote_news,anss
6,Opinion: Why companies that spend their capital wisely are smart places for your money,2020-10-31 09:31:00,https://www.marketwatch.com/story/these-savvy-companies-know-that-doing-this-one-thing-well-is-the-secret-to-attracting-long-term-stable-shareholders-2020-10-29?mod=mw_quote_news,anss
7,These 74 stocks in the S&P 500 hit all-time records on Wednesday,,https://www.marketwatch.com/story/these-74-stocks-in-the-sp-500-hit-all-time-records-on-wednesday-2020-09-02?mod=mw_quote_news,anss
8,The stock market has been on a roller coaster for 2 months — but the S&P 500 is down only 2% over 12 months. Here are the big winners.,2020-04-15 11:45:00,https://www.marketwatch.com/story/the-biggest-stock-market-lesson-from-the-last-12-months-stay-calm-2020-04-15?mod=mw_quote_news,anss
9,Opinion: 20 technology stocks with low debt to consider owning in a down market,2020-04-08 14:03:00,https://www.marketwatch.com/story/20-technology-stocks-with-low-debt-to-consider-owning-in-a-down-market-2020-04-02?mod=mw_quote_news,anss
10,These U.S. stocks fell the most April 1 after Trump turned grim on coronavirus forecast,2020-04-02 05:15:00,https://www.marketwatch.com/story/these-us-stocks-fell-the-most-april-1-after-trump-turned-grim-on-coronavirus-forecast-2020-04-01?mod=mw_quote_news,anss
11,Opinion: Three stocks that are ‘part of the solution’ to the coronavirus crisis,2020-03-24 06:51:00,https://www.marketwatch.com/story/three-stocks-that-are-part-of-the-solution-to-the-coronavirus-crisis-2020-03-19?mod=mw_quote_news,anss
12,Here’s President Trump’s real stock market scorecard,2020-03-21 10:14:00,https://www.marketwatch.com/story/heres-president-trumps-real-stock-market-scorecard-2020-03-17?mod=mw_quote_news,anss
13,Here are Friday’s worst stock-market performers as oil takes the market down,2020-03-07 09:21:00,https://www.marketwatch.com/story/here-are-fridays-worst-stock-market-performers-as-oil-takes-the-market-down-2020-03-06?mod=mw_quote_news,anss
14,"These are the 20 best-performing stocks of the past decade, and some of them will surprise you",2019-12-28 16:22:00,https://www.marketwatch.com/story/these-are-the-20-best-performing-stocks-of-the-past-decade-and-some-of-them-will-surprise-you-2019-12-09?mod=mw_quote_news,anss
15,3 Brilliant Stocks to Buy Now and Hold Forever,2023-03-05 00:32:00,https://www.fool.com/investing/2023/03/05/3-brilliant-stocks-to-buy-now-and-hold-forever/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,anss
16,Why Ansys Stock Soared in February,2023-03-02 04:44:00,https://www.fool.com/investing/2023/03/02/why-ansys-stock-soared-in-february/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,anss
17,Why Shares in Ansys Soared Today,2023-02-23 08:02:00,https://www.fool.com/investing/2023/02/23/why-shares-in-ansys-soared-today/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,anss
