,Headline,Date,URL,Company
0,Avery Dennison Corp. stock outperforms competitors on strong trading day,2023-04-19 16:39:00,https://www.marketwatch.com/data-news/avery-dennison-corp-stock-outperforms-competitors-on-strong-trading-day-3111dcae-11c697e94ae3?mod=mw_quote_news,avy
1,"Avery Dennison Corp. stock rises Tuesday, outperforms market",2023-04-18 16:39:00,https://www.marketwatch.com/data-news/avery-dennison-corp-stock-rises-tuesday-outperforms-market-4616ec38-9c5bc45b9aad?mod=mw_quote_news,avy
2,Avery Dennison Corp. stock outperforms market on strong trading day,2023-04-17 16:39:00,https://www.marketwatch.com/data-news/avery-dennison-corp-stock-outperforms-market-on-strong-trading-day-d6a9f1a9-a366046b7039?mod=mw_quote_news,avy
3,Avery Dennison Corp. stock underperforms Friday when compared to competitors,2023-04-14 16:39:00,https://www.marketwatch.com/data-news/avery-dennison-corp-stock-underperforms-friday-when-compared-to-competitors-4fa0a013-9eb692b79da0?mod=mw_quote_news,avy
4,"Avery Dennison Corp. stock rises Thursday, still underperforms market",2023-04-13 16:38:00,https://www.marketwatch.com/data-news/avery-dennison-corp-stock-rises-thursday-still-underperforms-market-d1c435b0-a9d34f773115?mod=mw_quote_news,avy
5,"Berry Global 1Q Earnings Down on Lower Packaging Prices, Demand",2023-02-02 08:22:00,https://www.marketwatch.com/story/berry-global-1q-earnings-down-on-lower-packaging-prices-demand-271675344130?mod=mw_quote_news,avy
6,"Avery Dennison 4Q Earnings, Sales Down as Volumes Fall",2023-02-02 07:44:00,https://www.marketwatch.com/story/avery-dennison-4q-earnings-sales-down-as-volumes-fall-271675341874?mod=mw_quote_news,avy
7,Avery Dennison Sees 2023 Earnings in Line With 2022,2023-02-02 07:16:00,https://www.marketwatch.com/story/avery-dennison-sees-2023-earnings-in-line-with-2022-271675340189?mod=mw_quote_news,avy
8,One possible supply issue for 2023 as shipping slows: too much cardboard,2022-12-15 16:07:00,https://www.marketwatch.com/story/one-possible-supply-issue-for-2023-as-shipping-slows-too-much-cardboard-11671138472?mod=mw_quote_news,avy
9,This Packaging Company Stock Has a 20% Upside,2021-12-08 04:00:00,https://www.marketwatch.com/articles/graphic-packaging-stock-price-upside-51638916144?mod=mw_quote_news,avy
10,Avery Dennison to acquire Vestcom for $1.45 billion in cash,2021-07-28 06:38:00,https://www.marketwatch.com/story/avery-dennison-to-acquire-vestcom-for-145-billion-in-cash-2021-07-28?mod=mw_quote_news,avy
11,Pay Attention to Profit Margins. Here’s Why.,2021-06-11 04:30:00,https://www.marketwatch.com/articles/pay-attention-to-profit-margins-heres-why-51623366833?mod=mw_quote_news,avy
