,Headline,Date,URL,Company
0,"Dutch Bros says it has no plans to raise prices this year, and stock falls",2023-02-22 17:27:00,https://www.marketwatch.com/story/dutch-bros-says-it-has-no-plans-to-raise-prices-this-year-and-stock-falls-403a7087?mod=mw_quote_news,bros
1,"Stocks to Watch: eBay, Etsy, Jounce Therapeutics, Dutch Bros, Cheesecake Factory",2023-02-22 18:47:00,https://www.marketwatch.com/story/stocks-to-watch-ebay-etsy-jounce-therapeutics-dutch-bros-cheesecake-factory-7551e144?mod=mw_quote_news,bros
2,Dutch Bros Shares Fall 7.3% After Hours After Unexpected 4Q Loss,2023-02-22 17:20:00,https://www.marketwatch.com/story/dutch-bros-shares-fall-7-3-after-hours-after-unexpected-4q-loss-3f6e5064?mod=mw_quote_news,bros
3,"Coffee Chain Dutch Bros’ Stock Is No Longer a Buy, Analyst Says. Here’s Why.",2022-06-08 16:54:00,https://www.marketwatch.com/articles/coffee-chain-dutch-bros-stock-downgrade-51654721588?mod=mw_quote_news,bros
4,Dutch Bros. results milked by 25% spike in Q1 dairy prices,2022-05-12 08:49:00,https://www.marketwatch.com/story/dutch-bros-results-milked-by-25-spike-in-q1-dairy-prices-11652359754?mod=mw_quote_news,bros
5,Dutch Bros Stock Plunges as Earnings Guidance Is Slashed,2022-05-12 06:25:00,https://www.marketwatch.com/articles/dutch-bros-stock-earnings-guidance-51652351095?mod=mw_quote_news,bros
6,Dutch Bros. stock spills 37% lower after forecast cut due to inflation,2022-05-11 17:09:00,https://www.marketwatch.com/story/dutch-bros-stock-spills-35-lower-after-forecast-cut-due-to-inflation-11652303394?mod=mw_quote_news,bros
7,"Fogo de Chão, the Brazilian Steakhouse, Is Going Public Again",2021-11-17 14:56:00,https://www.marketwatch.com/articles/fogo-de-chao-steakhouse-stock-ipo-51637178815?mod=mw_quote_news,bros
8,Dutch Bros. stock rallies after coffee chain’s sales increase nearly 50%,2021-11-10 16:34:00,https://www.marketwatch.com/story/dutch-bros-stock-rallies-after-coffee-chains-sales-increase-nearly-50-11636580047?mod=mw_quote_news,bros
9,Sweetgreen Targets $2.7 Billion Valuation With IPO,2021-11-09 16:11:00,https://www.marketwatch.com/articles/sweetgreen-targets-2-7-billion-valuation-with-ipo-51636492290?mod=mw_quote_news,bros
10,"Panera Brands Plans an IPO, With An Investment by Danny Meyer",2021-11-09 13:58:00,https://www.marketwatch.com/articles/panera-brands-ipo-with-danny-meyer-investment-51636484288?mod=mw_quote_news,bros
11,"Newly public Dutch Bros. locations are small but growth potential is large, analysts say",2021-10-11 13:52:00,https://www.marketwatch.com/story/newly-public-dutch-bros-locations-are-small-but-growth-potential-is-large-analysts-say-11633974752?mod=mw_quote_news,bros
12,Dutch Bros Stock Is Hot. Analysts Like the Coffee Chain’s Growth Prospects.,2021-10-11 12:19:00,https://www.marketwatch.com/articles/dutch-bros-stock-coffee-analysts-bullish-51633969015?mod=mw_quote_news,bros
13,2 Growth Stocks You Can Buy Right Now With Less Than $100,2023-04-06 03:16:00,https://www.fool.com/investing/2023/04/06/2-growth-stocks-you-can-buy-right-now-bros-hrl/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
14,Can Dutch Bros Stock Grow Into Its Premium Valuation?,2023-03-24 00:15:00,https://www.fool.com/investing/2023/03/24/can-dutch-bros-grow-into-its-premium-valuation/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
15,Dutch Bros Growth Comes With a Caveat. Should Investors Think Twice?,2023-03-23 00:10:00,https://www.fool.com/investing/2023/03/23/dutch-bros-growth-has-caveat-think-twice-investors/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
16,Where Will Dutch Bros Stock Be in 5 Years?,2023-03-20 23:40:00,https://www.fool.com/investing/2023/03/21/where-will-dutch-bros-stock-be-in-5-years/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
17,2 Top Consumer Discretionary Stocks to Buy Right Now,2023-03-20 03:39:00,https://www.fool.com/investing/2023/03/20/2-top-consumer-discretionary-stocks-buy-right-now/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
18,2 Potentially Explosive Stocks to Buy in March,2023-03-18 04:23:00,https://www.fool.com/investing/2023/03/18/2-potentially-explosive-stocks-to-buy-in-march/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
19,Better Buy: Dutch Bros vs. Starbucks,2023-03-14 23:10:00,https://www.fool.com/investing/2023/03/15/better-buy-dutch-bros-vs-starbucks/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
20,Stock Market Sell-Off: Is Dutch Bros Stock a Buy?,2023-03-12 02:15:00,https://www.fool.com/investing/2023/03/12/stock-market-sell-off-is-dutch-bros-stock-a-buy/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
21,3 No-Brainer Stocks to Buy With $100 Right Now,2023-03-12 01:45:00,https://www.fool.com/investing/2023/03/12/3-no-brainer-stocks-to-buy-with-100-right-now/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
22,2 Hot Stocks to Buy and Hold Until You Retire,2023-03-11 23:05:00,https://www.fool.com/investing/2023/03/12/2-hot-stocks-to-buy-and-hold-until-you-retire/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
23,3 Growth Stocks You Can Buy Right Now With Less Than $100,2023-03-02 05:07:00,https://www.fool.com/investing/2023/03/02/3-growth-stocks-you-can-buy-with-less-than-100/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
24,Dutch Bros Is Down 60% From Its High. Time to Buy?,2023-03-01 05:48:00,https://www.fool.com/investing/2023/03/01/dutch-bros-is-down-60-from-its-high-time-to-buy/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,bros
