,Headline,Date,URL,Company
0,Citizens Financial Group Inc. stock underperforms Thursday when compared to competitors,2023-04-20 16:44:00,https://www.marketwatch.com/data-news/citizens-financial-group-inc-stock-underperforms-thursday-when-compared-to-competitors-d0be409-6016c8cb1de9?mod=mw_quote_news,cfg
1,"Citizens Financial Group Inc. stock rises Wednesday, outperforms market",2023-04-19 16:44:00,https://www.marketwatch.com/data-news/citizens-financial-group-inc-stock-rises-wednesday-outperforms-market-5ffa0f6e-79697496d933?mod=mw_quote_news,cfg
2,Citizens Financial Group Inc. stock underperforms Tuesday when compared to competitors despite daily gains,2023-04-18 16:44:00,https://www.marketwatch.com/data-news/citizens-financial-group-inc-stock-underperforms-tuesday-when-compared-to-competitors-despite-daily-gains-28fd3ff8-aad8ec882b02?mod=mw_quote_news,cfg
3,Citizens Financial Group Inc. stock outperforms market on strong trading day,2023-04-17 16:44:00,https://www.marketwatch.com/data-news/citizens-financial-group-inc-stock-outperforms-market-on-strong-trading-day-b8422269-24c4de50024e?mod=mw_quote_news,cfg
4,10 dividend stocks yielding at least 4.5% that are rated ‘buy’ by most analysts,2023-04-17 09:43:00,https://www.marketwatch.com/story/10-dividend-stocks-yielding-at-least-4-5-that-are-rated-buy-by-most-analysts-216f9220?mod=mw_quote_news,cfg
5,"Citizens Financial Group Inc. stock falls Friday, underperforms market",2023-04-14 16:43:00,https://www.marketwatch.com/data-news/citizens-financial-group-inc-stock-falls-friday-underperforms-market-214b73d3-6583e3c8cca9?mod=mw_quote_news,cfg
6,"Loan growth, lower margins cloud the skies over big banks: analyst",2023-04-10 11:15:00,https://www.marketwatch.com/story/loan-growth-lower-margins-cloud-the-skies-over-big-banks-analyst-59135828?mod=mw_quote_news,cfg
7,Citizens Financial Says No Material Exposure From Lindberg Deals,2023-03-30 10:06:00,https://www.marketwatch.com/story/citizens-financial-says-no-material-exposure-from-lindberg-deals-9f422021?mod=mw_quote_news,cfg
8,"Deutsche Bank, First Republic weigh on bank stocks",2023-03-24 10:49:00,https://www.marketwatch.com/story/deutsche-bank-first-republic-weigh-on-bank-stocks-4f0b97d1?mod=mw_quote_news,cfg
9,Citi analyst sees ‘ample’ liquidity in banks to cover deposit withdrawals,2023-03-24 06:55:00,https://www.marketwatch.com/story/citi-analyst-sees-ample-liquidity-in-banks-to-cover-deposit-withdrawals-3583e984?mod=mw_quote_news,cfg
10,Deutsche Bank Stock Tumbles. The Banking Panic Isn’t Over.,2023-03-24 05:07:00,https://www.marketwatch.com/articles/regional-bank-stocks-rebound-yellen-e1c8c629?mod=mw_quote_news,cfg
11,First Republic and Western Alliance pace big rebound in regional-bank stocks after huge losses,2023-03-14 07:56:00,https://www.marketwatch.com/story/regional-banks-post-big-rebounds-in-premarket-trades-after-huge-losses-eb8910d?mod=mw_quote_news,cfg
12,Citizens Financial Board Adds $1.15 Billion to Stock Buybacks >CFG,2023-02-17 06:47:00,https://www.marketwatch.com/story/citizens-financial-board-adds-1-15-billion-to-stock-buybacks-cfg-52b45979?mod=mw_quote_news,cfg
13,Bank Stocks Have Been Rising. Where They’re Headed Next.,2023-02-01 16:46:00,https://www.marketwatch.com/articles/bank-stocks-outlook-51675287975?mod=mw_quote_news,cfg
14,"American Express, Citizens registered to lobby for Safe Banking cannabis measure: report",2023-01-24 11:57:00,https://www.marketwatch.com/story/american-express-citizens-registered-to-lobby-for-safe-banking-cannabis-measure-report-11674579426?mod=mw_quote_news,cfg
15,Exclusive: Mastercard expands relationship with Citizens in exclusive arrangement,2023-01-19 08:03:00,https://www.marketwatch.com/story/exclusive-mastercard-expands-relationship-with-citizens-in-exclusive-arrangement-11674133427?mod=mw_quote_news,cfg
16,Goldman Sachs Could See Profits Drop by 50%. The Stock Rallies on Hope for the Year.,2023-01-13 02:45:00,https://www.marketwatch.com/articles/goldman-sachs-earnings-stock-price-51673565379?mod=mw_quote_news,cfg
17,Middle-market M&A players expect conditions to stabilize in 2023,2023-01-11 09:00:00,https://www.marketwatch.com/story/middle-market-m-a-players-expect-conditions-to-stabilize-in-2023-11673445658?mod=mw_quote_news,cfg
18,What Should Investors Watch in Regional Bank Earnings?,2023-04-19 06:41:00,https://www.fool.com/investing/2023/04/19/what-should-investors-watch-in-regional-bank-earni/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,cfg
