,Headline,Date,URL,Company
0,"Keysight and Charles River shares plunge, Palo Alto Networks’ stock rallies, and more big movers",2023-02-22 07:54:00,https://www.marketwatch.com/story/baidus-shares-rise-on-chinese-search-engines-results-costar-stock-slumps-as-realtor-com-talks-end-1279202?mod=mw_quote_news,csgp
1,"Stocks to Watch: ZipRecruiter, Palo Alto Networks, La-Z-Boy, 1Life Healthcare, CoStar Group",2023-02-21 18:59:00,https://www.marketwatch.com/story/stocks-to-watch-ziprecruiter-palo-alto-networks-la-z-boy-1life-healthcare-costar-group-2a4051bd?mod=mw_quote_news,csgp
2,News Corp won’t be selling Realtor.com parent Move to CoStar,2023-02-21 18:14:00,https://www.marketwatch.com/story/news-corp-wont-be-selling-realtor-com-parent-move-to-costar-895de4ae?mod=mw_quote_news,csgp
3,How a Home Listings Shakeup Could Hit Zillow and Redfin,2023-01-25 17:32:00,https://www.marketwatch.com/articles/zillow-redfin-realtor-stock-price-home-listings-51674685969?mod=mw_quote_news,csgp
4,Why U.S. oil companies may be tempted to purchase European rivals on the cheap,2023-01-25 06:42:00,https://www.marketwatch.com/story/why-exxon-or-chevron-may-want-to-swoop-overseas-and-buy-a-rival-citi-analysts-say-11674646981?mod=mw_quote_news,csgp
5,Nasdaq adds six companies to the Nasdaq-100 Index,2022-12-12 08:29:00,https://www.marketwatch.com/story/nasdaq-adds-six-companies-to-the-nasdaq-100-index-2022-12-12?mod=mw_quote_news,csgp
6,‘It’s kind of a perfect storm in those markets’: Rent growth is finally slowing in these Sunbelt cities,2022-11-04 16:45:00,https://www.marketwatch.com/story/its-kind-of-a-perfect-storm-in-those-markets-rent-growth-is-declining-in-these-sunbelt-cities-11667594733?mod=mw_quote_news,csgp
7,When will house prices drop? These economists say prepare for a ‘prolonged slowdown’ — and big declines in home values,2022-10-10 10:47:00,https://www.marketwatch.com/story/when-will-house-prices-go-down-some-economists-see-a-prolonged-slowdown-and-a-decline-of-up-to-20-in-house-prices-11665413267?mod=mw_quote_news,csgp
8,"Rents fell in August for the first time since 2021, but they remain sky-high in these major U.S. cities",,https://www.marketwatch.com/story/rents-fell-in-august-but-heres-why-tenants-are-still-suffering-11663876706?mod=mw_quote_news,csgp
9,Real estate marketplace provider CoStar to issue $750 million of stock as it joins S&P 500,,https://www.marketwatch.com/story/real-estate-marketplace-provider-costar-to-issue-750-million-of-stock-as-it-joins-sp-500-2022-09-14?mod=mw_quote_news,csgp
10,‘We’re seeing a complete reversal of market conditions in just 12 months’: Rents fell from July to August — the first decline in nearly two years,,https://www.marketwatch.com/story/were-seeing-a-complete-reversal-of-market-conditions-in-just-12-months-rents-fell-from-july-to-august-the-first-decline-in-nearly-two-years-11662735607?mod=mw_quote_news,csgp
11,Penn National dropped from S&P 500 for one of America’s largest institutional landlords,,https://www.marketwatch.com/story/penn-national-dropped-from-s-p-500-for-one-of-americas-largest-institutional-landlords-11662160453?mod=mw_quote_news,csgp
12,Supreme Court overturns Roe v. Wade. Individual states will now decide whether to ban abortion. Will this play a role in where Americans choose to live?,2022-05-06 11:24:00,https://www.marketwatch.com/story/if-roe-v-wade-was-overturned-what-happens-to-real-estate-markets-in-states-with-trigger-laws-that-would-immediately-ban-abortion-in-those-states-11651850682?mod=mw_quote_news,csgp
13,6 Stocks Got Crushed on Earnings. Wall Street Likes Them Better Now.,2021-11-11 04:45:00,https://www.marketwatch.com/articles/stock-screen-earnings-ratings-51636584027?mod=mw_quote_news,csgp
14,This fund’s ‘long-short’ stock strategy helps investors navigate rocky times,2021-04-05 10:23:00,https://www.marketwatch.com/story/this-funds-long-short-stock-strategy-helps-investors-navigate-rocky-times-11617632603?mod=mw_quote_news,csgp
15,Rising Rates Hit M&A as CoStar Pulls Offer for CoreLogic,2021-03-04 19:13:00,https://www.marketwatch.com/articles/rising-rates-hit-m-a-as-costar-pulls-offer-for-corelogic-51614903231?mod=mw_quote_news,csgp
16,Why CoStar Group Stock Dropped 5.2% This Morning,2023-02-22 07:10:00,https://www.fool.com/investing/2023/02/22/why-costar-group-stock-dropped-52-this-morning/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,csgp
