,Headline,Date,URL,Company
0,Why Enphase Stock Shines Brighter Than First Solar,2023-04-13 08:33:00,https://www.marketwatch.com/articles/enphase-stock-first-solar-upgrade-downgrade-buy-d296bf08?mod=mw_quote_news,enph
1,"First Solar Has Surged 40% This Year. It’s Time to Sell the Stock, Analyst Says, and Buy Sunnova Instead.",2023-04-03 12:27:00,https://www.marketwatch.com/articles/first-solar-stock-downgrade-sunnova-436f77ca?mod=mw_quote_news,enph
2,Microsoft and Other Growth Stocks Worth a Look—And How to Find More,2023-03-24 14:12:00,https://www.marketwatch.com/articles/growth-stocks-to-look-at-microsoft-828b7f4?mod=mw_quote_news,enph
3,"First Republic Bank’s stock plummets and Peloton’s stock falls while New York Community Bank shares soar, and other stocks on the move",2023-03-20 08:15:00,https://www.marketwatch.com/story/new-york-community-bank-shares-surge-and-foot-lockers-stock-gains-but-first-republics-stock-hit-by-s-p-downgrade-b51e92d3?mod=mw_quote_news,enph
4,Enphase stock rallies 5% after Raymond James raises it to buy,2023-03-20 10:57:00,https://www.marketwatch.com/story/enphase-stock-rallies-5-after-raymond-james-raises-it-to-buy-dc199811?mod=mw_quote_news,enph
5,Enphase Stock Gains as Analyst Tries to ‘Catch a Falling Knife’ in Solar Power,2023-03-20 08:49:00,https://www.marketwatch.com/articles/enphase-energy-stock-upgrade-solar-power-e9d15319?mod=mw_quote_news,enph
6,Enphase Stock Gets an Upgrade Because Solar Companies Are Upbeat About Demand,2023-02-27 12:33:00,https://www.marketwatch.com/articles/enphase-stock-solar-demand-upgrade-6f8bc8c7?mod=mw_quote_news,enph
7,U.S. Clean Energy Is Attracting Billions in Investments. Here Are 5 Key Players.,2023-02-24 12:04:00,https://www.marketwatch.com/articles/us-clean-energy-infrastructure-corning-enphase-neste-stock-12b0e19d?mod=mw_quote_news,enph
8,Pfizer and Other Stocks That Haven’t Been Able to Snap Their Losing Streak,2023-02-17 02:00:00,https://www.marketwatch.com/articles/pfizer-mccormick-tesla-baxter-stock-price-7e49494f?mod=mw_quote_news,enph
9,Utilities Down on Rate Views -- Utilities Roundup,2023-02-08 17:14:00,https://www.marketwatch.com/story/utilities-down-on-rate-views-utilities-roundup-271675894450?mod=mw_quote_news,enph
10,"These Stocks Are Moving the Most Today: Capri, Lumen, New Relic, New York Times, and More",2023-02-08 04:53:00,https://www.marketwatch.com/articles/stock-market-movers-enphase-microsoft-chipotle-51675786011?mod=mw_quote_news,enph
11,Enphase Gives Bright Outlook Amid U.S. Solar Slump,2023-02-08 06:20:00,https://www.marketwatch.com/articles/enphase-energy-earnings-stock-price-51675854410?mod=mw_quote_news,enph
12,"Enphase stock rallies 8% after Q4 earnings blow past expectations, guidance",2023-02-07 16:46:00,https://www.marketwatch.com/story/enphase-stock-rallies-7-after-q4-earnings-blow-past-expectations-01675806404?mod=mw_quote_news,enph
13,"Stocks to Watch: Chipotle Mexican Grill, New Relic, Enphase Energy",2023-02-07 18:44:00,https://www.marketwatch.com/story/stocks-to-watch-chipotle-mexican-grill-new-relic-enphase-energy-271675813446?mod=mw_quote_news,enph
14,"Enphase Energy Shares Up 7.2% After Hours On Higher 4Q Revenue, 1Q Outlook",2023-02-07 17:55:00,https://www.marketwatch.com/story/enphase-energy-shares-up-7-2-after-hours-on-higher-4q-revenue-1q-outlook-271675810550?mod=mw_quote_news,enph
15,Why Enphase Energy Stock Jumped Today,2023-04-17 14:37:00,https://www.fool.com/investing/2023/04/17/why-enphase-energy-stock-jumped-today/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,enph
