,Headline,Date,URL,Company
0,"Flowserve Corp. stock falls Thursday, underperforms market",2023-04-20 16:55:00,https://www.marketwatch.com/data-news/flowserve-corp-stock-falls-thursday-underperforms-market-6f43f77e-9e3825d27324?mod=mw_quote_news,fls
1,"Flowserve Corp. stock falls Wednesday, underperforms market",2023-04-19 16:55:00,https://www.marketwatch.com/data-news/flowserve-corp-stock-falls-wednesday-underperforms-market-3db21c19-9c30eebe47bc?mod=mw_quote_news,fls
2,Flowserve Corp. stock outperforms market on strong trading day,2023-04-18 16:55:00,https://www.marketwatch.com/data-news/flowserve-corp-stock-outperforms-market-on-strong-trading-day-4ab52c8f-2612a010de07?mod=mw_quote_news,fls
3,Flowserve Corp. stock outperforms market on strong trading day,2023-04-17 16:55:00,https://www.marketwatch.com/data-news/flowserve-corp-stock-outperforms-market-on-strong-trading-day-da0a311e-637230faf61f?mod=mw_quote_news,fls
4,Flowserve Corp. stock outperforms market on strong trading day,2023-04-14 16:55:00,https://www.marketwatch.com/data-news/flowserve-corp-stock-outperforms-market-on-strong-trading-day-430360a4-06fb7ee30fd1?mod=mw_quote_news,fls
5,Flowserve to Buy Velan Inc. for About $209 Million >FLS VLN.T,2023-02-10 07:16:00,https://www.marketwatch.com/story/flowserve-to-buy-velan-inc-for-about-209-million-fls-vln-t-6b358ad?mod=mw_quote_news,fls
6,4 ‘Oily Industrial’ Stocks to Buy After Oil’s Collapse,2020-04-24 20:11:00,https://www.marketwatch.com/articles/4-oily-industrial-stocks-to-buy-after-oils-collapse-51587773503?mod=mw_quote_news,fls
7,Four Oil-Related Industrial Stocks to Buy as the Price of Crude Plummets,2020-04-20 12:13:00,https://www.marketwatch.com/articles/oil-related-industrial-stocks-crude-energy-sector-futures-contracts-covid-19-opec-51587398890?mod=mw_quote_news,fls
8,Metso slumps on Credit Suisse downgrade to underperform,2019-10-02 05:06:00,https://www.marketwatch.com/story/metso-slumps-on-credit-suisse-downgrade-to-underperform-2019-10-02?mod=mw_quote_news,fls
9,Caterpillar and Other Machinery Stocks Could Gain From Higher Oil Prices,,https://www.marketwatch.com/articles/caterpillar-machinery-stocks-oil-energy-exploration-cummins-united-rentals-51568731656?mod=mw_quote_news,fls
10,These stocks have plunged the most since Powell and Trump crashed investors’ party,2019-08-05 16:47:00,https://www.marketwatch.com/story/these-stocks-have-plunged-the-most-since-powell-and-trump-crashed-investors-party-2019-08-05?mod=mw_quote_news,fls
11,Industrial Stocks Aren’t Afraid of the Oil Patch Anymore. Crane’s Bid Is Proof.,2019-05-21 12:04:00,https://www.marketwatch.com/articles/crane-hostile-bid-circor-industrial-stocks-51558454584?mod=mw_quote_news,fls
12,Here are the most and least volatile stocks since Trump ramped up trade conflict,2019-05-15 10:34:00,https://www.marketwatch.com/story/here-are-the-most-and-least-volatile-stocks-since-trumps-trade-tirade-began-2019-05-15?mod=mw_quote_news,fls
13,Payment Systems Proliferate,2019-05-10 20:46:00,https://www.marketwatch.com/articles/payment-systems-proliferate-51557535595?mod=mw_quote_news,fls
