,Headline,Date,URL,Company
0,"Fortinet Inc. stock falls Wednesday, underperforms market",2023-04-19 16:55:00,https://www.marketwatch.com/data-news/fortinet-inc-stock-falls-wednesday-underperforms-market-a95bb32e-5c1d8ce21a51?mod=mw_quote_news,ftnt
1,Fortinet Inc. stock outperforms competitors on strong trading day,2023-04-18 16:55:00,https://www.marketwatch.com/data-news/fortinet-inc-stock-outperforms-competitors-on-strong-trading-day-de5c83b8-7431db49c828?mod=mw_quote_news,ftnt
2,Fortinet Inc. stock underperforms Monday when compared to competitors,2023-04-17 16:55:00,https://www.marketwatch.com/data-news/fortinet-inc-stock-underperforms-monday-when-compared-to-competitors-4ee39e29-5b04ed49e6f6?mod=mw_quote_news,ftnt
3,Fortinet Inc. stock outperforms competitors despite losses on the day,2023-04-14 16:55:00,https://www.marketwatch.com/data-news/fortinet-inc-stock-outperforms-competitors-despite-losses-on-the-day-d7eacf93-6fd4b37df3e4?mod=mw_quote_news,ftnt
4,Fortinet Inc. stock outperforms market on strong trading day,2023-04-13 16:55:00,https://www.marketwatch.com/data-news/fortinet-inc-stock-outperforms-market-on-strong-trading-day-498e5a30-296723e1d2c2?mod=mw_quote_news,ftnt
5,11 stocks in the S&P 500 expected to form an exclusive growth club for investors,2023-03-27 08:10:00,https://www.marketwatch.com/story/11-stocks-in-the-s-p-500-expected-to-form-an-exclusive-growth-club-for-investors-5a684858?mod=mw_quote_news,ftnt
6,The Outlook Looks Bright For Security Software. Here’s How Goldman Would Play It.,2023-02-14 12:41:00,https://www.marketwatch.com/articles/security-software-company-stocks-goldman-f064d672?mod=mw_quote_news,ftnt
7,"These Stocks Are Moving the Most Today: Capri, Lumen, New Relic, New York Times, and More",2023-02-08 04:53:00,https://www.marketwatch.com/articles/stock-market-movers-enphase-microsoft-chipotle-51675786011?mod=mw_quote_news,ftnt
8,"Fortinet shares surge more than 15% after earnings, outlook beats",2023-02-07 17:01:00,https://www.marketwatch.com/story/fortinet-shares-surge-more-than-15-after-earnings-outlook-beats-11675807269?mod=mw_quote_news,ftnt
9,"Opinion: One question looms about where tech stocks go now, after one of their worst years on record",2022-12-29 19:51:00,https://www.marketwatch.com/story/one-question-looms-about-where-tech-stocks-go-now-after-one-of-their-worst-years-on-record-11672361520?mod=mw_quote_news,ftnt
10,Security-software stocks are suffering from this one gloomy forecast,2022-11-03 14:51:00,https://www.marketwatch.com/story/security-software-stocks-are-suffering-from-this-one-forecast-11667501464?mod=mw_quote_news,ftnt
11,Fortinet stock sinks after earnings as billings forecast underwhelms,2022-11-02 17:16:00,https://www.marketwatch.com/story/fortinet-stock-sinks-after-earnings-as-billings-forecast-underwhelms-2022-11-02?mod=mw_quote_news,ftnt
12,Here’s how Palo Alto Networks stacks up against its main competitors,2022-08-23 12:04:00,https://www.marketwatch.com/story/heres-how-palo-alto-networks-stacks-up-against-its-main-competitors-11661270689?mod=mw_quote_news,ftnt
13,Why Fortinet Stock Was a Winner Today,2023-04-13 12:37:00,https://www.fool.com/investing/2023/04/13/why-fortinet-stock-was-a-winner-today/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,ftnt
14,The Best Stocks to Buy With $100 Right Now,2023-04-07 23:30:00,https://www.fool.com/investing/2023/04/08/the-best-stocks-to-buy-with-100-right-now/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,ftnt
