,Headline,Date,URL,Company
0,"These Stocks Are Moving the Most Today: First Republic, KeyCorp, GitLab, AMC, Meta, and More",2023-03-14 04:51:00,https://www.marketwatch.com/articles/stock-market-movers-40bfdf49?mod=mw_quote_news,gtlb
1,"GitLab 1Q, FY24 Outlook Put Shares on Pace for 52-Week Low",2023-03-14 12:02:00,https://www.marketwatch.com/story/gitlab-1q-fy24-outlook-put-shares-on-pace-for-52-week-low-92f6fe57?mod=mw_quote_news,gtlb
2,GitLab stock drops more than 30% as revenue forecast misses,2023-03-13 16:35:00,https://www.marketwatch.com/story/gitlab-stock-drops-more-than-30-as-revenue-forecast-misses-3556687b?mod=mw_quote_news,gtlb
3,GitLab Stock Plunges 30%. Revenue Growth Set to Slow Despite Price Hikes.,2023-03-14 07:27:00,https://www.marketwatch.com/articles/gitlab-stock-analyst-outlook-prices-fbe54891?mod=mw_quote_news,gtlb
4,"Stocks to Watch: GitLab, United Airlines, Momentive Global, Bunge",2023-03-13 19:12:00,https://www.marketwatch.com/story/stocks-to-watch-gitlab-united-airlines-momentive-global-bunge-3277f67c?mod=mw_quote_news,gtlb
5,"GitLab Shares Plummet 35% on 1Q, FY24 Outlook",2023-03-13 16:31:00,https://www.marketwatch.com/story/gitlab-shares-plummet-35-on-1q-fy24-outlook-a499c6a7?mod=mw_quote_news,gtlb
6,"GitLab 4Q Loss Narrows, Revenue Grows as Customers Continue to Spend",2023-03-13 16:25:00,https://www.marketwatch.com/story/gitlab-4q-loss-narrows-revenue-grows-as-customers-continue-to-spend-45607ed?mod=mw_quote_news,gtlb
7,E-commerce demand has slowed. FedEx’s results will show us where it stands now,2023-03-12 10:01:00,https://www.marketwatch.com/story/e-commerce-demand-has-slowed-fedexs-results-will-show-us-where-it-stands-now-3d5322f6?mod=mw_quote_news,gtlb
8,GitLab’s stock slides as company plans to cut 7% of staff,2023-02-09 11:41:00,https://www.marketwatch.com/story/gitlabs-stock-slides-as-company-plans-to-cut-7-of-staff-11675960924?mod=mw_quote_news,gtlb
9,AMD and Dell Are Among the Top 23 Stock Ideas for 2023 From UBS. It Likes GitLab and Zebra Too.,2022-12-14 12:36:00,https://www.marketwatch.com/articles/amd-dell-ubs-top-stock-ideas-2023-51671039210?mod=mw_quote_news,gtlb
10,"Stocks Moving the Most Today: Vivint, Signet, Sumo Logic, Paramount, and More",2022-12-06 04:27:00,https://www.marketwatch.com/articles/salesforce-textron-pepsico-gitlab-stock-market-movers-tuesday-51670259534?mod=mw_quote_news,gtlb
11,"GitLab stock soars more than 15% as results, outlook top Street view",2022-12-05 16:41:00,https://www.marketwatch.com/story/gitlab-stock-soars-more-than-15-as-results-outlook-top-street-view-11670276482?mod=mw_quote_news,gtlb
12,"GitLab beats earnings expectations, and analyst says outlook looks ‘conservative’",,https://www.marketwatch.com/story/gitlab-stock-falls-despite-earnings-beat-and-analyst-says-outlook-looks-conservative-11662497418?mod=mw_quote_news,gtlb
13,"Down 73%, Is This High-Flying Software Stock a Buy?",2023-03-28 05:50:00,https://www.fool.com/investing/2023/03/28/down-73-is-this-high-flying-software-stock-a-buy/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,gtlb
14,Google Buys More GitLab Stock -- What Investors Need to Know,2023-03-24 08:29:00,https://www.fool.com/investing/2023/03/24/google-buys-more-gitlab-stock-what-investors-need/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,gtlb
15,A Bull Market Is Coming -- but Is It Time to Buy GitLab Stock Yet?,2023-03-17 08:30:00,https://www.fool.com/investing/2023/03/17/bull-market-is-coming-but-is-gitlab-a-buy-yet/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,gtlb
16,Is It Time to Buy GitLab Stock?,2023-03-15 06:45:00,https://www.fool.com/investing/2023/03/15/is-it-time-to-buy-gitlab-stock/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,gtlb
17,Why GitLab Stock Crashed Today,2023-03-14 17:06:00,https://www.fool.com/investing/2023/03/14/why-gitlab-stock-crashed-today/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,gtlb
