,Headline,Date,URL,Company
0,"IQVIA Holdings Inc. stock falls Thursday, underperforms market",2023-04-20 17:02:00,https://www.marketwatch.com/data-news/iqvia-holdings-inc-stock-falls-thursday-underperforms-market-dd66136a-35480b20de9b?mod=mw_quote_news,iqv
1,IQVIA Holdings Inc. stock underperforms Wednesday when compared to competitors,2023-04-19 17:02:00,https://www.marketwatch.com/data-news/iqvia-holdings-inc-stock-underperforms-wednesday-when-compared-to-competitors-8f97f80d-d14540d2e5b6?mod=mw_quote_news,iqv
2,"IQVIA Holdings Inc. stock rises Tuesday, still underperforms market",2023-04-18 17:02:00,https://www.marketwatch.com/data-news/iqvia-holdings-inc-stock-rises-tuesday-still-underperforms-market-f890c89b-3da5b30f2396?mod=mw_quote_news,iqv
3,IQVIA Holdings Inc. stock outperforms market on strong trading day,2023-04-17 17:02:00,https://www.marketwatch.com/data-news/iqvia-holdings-inc-stock-outperforms-market-on-strong-trading-day-682fd50a-583fb5ef1b2a?mod=mw_quote_news,iqv
4,"IQVIA Holdings Inc. stock falls Friday, underperforms market",2023-04-14 17:02:00,https://www.marketwatch.com/data-news/iqvia-holdings-inc-stock-falls-friday-underperforms-market-f12684b0-a35061f89cc4?mod=mw_quote_news,iqv
5,IQVIA Holdings Posts Higher 4Q Revenue on R&D Growth,2023-02-10 07:55:00,https://www.marketwatch.com/story/iqvia-holdings-posts-higher-4q-revenue-on-r-d-growth-c49f8a88?mod=mw_quote_news,iqv
6,IQVIA Holdings Sees Continued Revenue Growth in 2023,2023-02-10 07:38:00,https://www.marketwatch.com/story/iqvia-holdings-sees-continued-revenue-growth-in-2023-d6d1ad00?mod=mw_quote_news,iqv
7,5 Stocks Wall Street Just Loves for Valentine’s Day,2022-02-14 10:43:00,https://www.marketwatch.com/articles/stocks-wall-street-valentines-day-51644853310?mod=mw_quote_news,iqv
8,Here’s what AMC Entertainment’s monster stock surge ‘memes’ for ETFs,2021-06-03 11:51:00,https://www.marketwatch.com/story/heres-what-amc-entertainments-monster-stock-surge-memes-for-etfs-11622735488?mod=mw_quote_news,iqv
9,These 74 stocks in the S&P 500 hit all-time records on Wednesday,,https://www.marketwatch.com/story/these-74-stocks-in-the-sp-500-hit-all-time-records-on-wednesday-2020-09-02?mod=mw_quote_news,iqv
10,"Biogen's stock rises after big earnings beat, raised outlook",2020-07-22 07:30:00,https://www.marketwatch.com/story/biogens-stock-rises-after-big-earnings-beat-raised-outlook-2020-07-22?mod=mw_quote_news,iqv
11,"2 Clinical Research Stocks That Could Grow by More Than 10% This Year, and 1 to Watch",2023-03-25 07:20:00,https://www.fool.com/investing/2023/03/25/2-clinical-research-stocks-that-could-grow-by-more/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,iqv
12,Got $300? 3 Growth Stocks to Buy That Could Double Your Money,2023-02-21 05:16:00,https://www.fool.com/investing/2023/02/21/got-300-growth-stocks-buy-could-double-your-money/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,iqv
