,Headline,Date,URL,Company
0,"Eli Lilly & Co. stock rises Wednesday, outperforms market",2023-04-19 17:06:00,https://www.marketwatch.com/data-news/eli-lilly-co-stock-rises-wednesday-outperforms-market-1b367cae-c846c566799d?mod=mw_quote_news,lly
1,"Eli Lilly & Co. stock falls Tuesday, underperforms market",2023-04-18 17:06:00,https://www.marketwatch.com/data-news/eli-lilly-co-stock-falls-tuesday-underperforms-market-6c314c38-4dcf1bdf83b0?mod=mw_quote_news,lly
2,"Nektar stock pops as more than half of San Francisco office loses jobs, new CFO appointed",2023-04-17 17:54:00,https://www.marketwatch.com/story/lose-jobs-new-cfo-appointed-268503b3?mod=mw_quote_news,lly
3,Eli Lilly & Co. stock underperforms Monday when compared to competitors,2023-04-17 17:06:00,https://www.marketwatch.com/data-news/eli-lilly-co-stock-underperforms-monday-when-compared-to-competitors-fc8e51a9-209081fc51e5?mod=mw_quote_news,lly
4,"Eli Lilly to invest another $1.6 billion, add 200 more jobs to its new manufacturing sites in Indiana",2023-04-17 11:25:00,https://www.marketwatch.com/story/eli-lilly-to-invest-another-1-6-billion-add-200-more-jobs-to-its-new-manufacturing-sites-in-indiana-73a278c?mod=mw_quote_news,lly
5,Eli Lilly & Co. stock outperforms market despite losses on the day,2023-04-14 17:06:00,https://www.marketwatch.com/data-news/eli-lilly-co-stock-outperforms-market-despite-losses-on-the-day-65870013-481e74af6637?mod=mw_quote_news,lly
6,"Eli Lilly & Co. stock rises Thursday, outperforms market",2023-04-13 17:06:00,https://www.marketwatch.com/data-news/eli-lilly-co-stock-rises-thursday-outperforms-market-fbe395b0-497c86f00c92?mod=mw_quote_news,lly
7,WW International Stock Is the Latest Way to Ride the  Obesity-Drug Wave,2023-04-11 17:01:00,https://www.marketwatch.com/articles/ww-international-stock-obesity-drug-mounjaro-wegovy-8b8dde40?mod=mw_quote_news,lly
8,Viking Therapeutics Shares Soar on VK2735 Home-Run Data >VKTX,2023-03-28 10:36:00,https://www.marketwatch.com/story/viking-therapeutics-shares-soar-on-vk2735-home-run-data-vktx-c8aaa35c?mod=mw_quote_news,lly
9,Viking’s stock rallies as it announces trial for oral version of obesity drug,2023-03-28 08:19:00,https://www.marketwatch.com/story/vikings-stock-rallies-as-it-announces-trial-for-oral-version-of-obesity-drug-1e72d719?mod=mw_quote_news,lly
10,Sanofi to cap price of Lantus insulin at $35,2023-03-16 16:24:00,https://www.marketwatch.com/story/sanofi-to-cap-price-of-lantus-insulin-at-35-238e93a7?mod=mw_quote_news,lly
11,Biden says he’s ‘intensely’ focused on lowering drug prices,2023-03-15 19:11:00,https://www.marketwatch.com/story/biden-says-hes-intensely-focused-on-lowering-drug-prices-b9426c62?mod=mw_quote_news,lly
12,Lilly’s drug aimed at preventing Alzheimer’s fails,2023-03-08 17:54:00,https://www.marketwatch.com/story/lillys-drug-aimed-at-preventing-alzheimers-fails-2cff5196?mod=mw_quote_news,lly
13,"Lilly, Boehringer: FDA to Review Jardiance in Children With Type 2 Diabetes >LLY",2023-03-08 09:33:00,https://www.marketwatch.com/story/lilly-boehringer-fda-to-review-jardiance-in-children-with-type-2-diabetes-lly-3c48f2b2?mod=mw_quote_news,lly
14,Why Weight Watchers is buying a company that prescribes popular weight-loss drugs like Ozempic,2023-03-07 13:33:00,https://www.marketwatch.com/story/why-weight-watchers-is-buying-a-company-that-prescribes-popular-weight-loss-drugs-like-ozempic-b793b96c?mod=mw_quote_news,lly
15,The Data Will Speak Louder Than Powell. Fed Rate Is Veering Toward 6%.,2023-03-07 06:50:00,https://www.marketwatch.com/articles/what-to-know-today-fb271cf9?mod=mw_quote_news,lly
16,FDA Will Weigh Full Approval for Alzheimer’s Drug. Why It Matters for Biogen Stock.,2023-03-06 11:38:00,https://www.marketwatch.com/articles/biogen-fda-alzheimer-drug-approval-fff53cc3?mod=mw_quote_news,lly
17,"Insulin costing $35 a month ‘should be the new standard in America,’ Eli Lilly CEO says. But could this happen?",2023-03-01 16:09:00,https://www.marketwatch.com/story/eli-lilly-ceo-says-35-for-monthly-insulin-should-be-the-new-standard-in-america-and-experts-say-that-could-happen-82ea7d00?mod=mw_quote_news,lly
18,Markets Remain Hopeful on Interest Rates. The Fed Is Trying to Manage Expectations.,2023-03-03 06:39:00,https://www.marketwatch.com/articles/what-to-know-today-78479e60?mod=mw_quote_news,lly
