,Headline,Date,URL,Company
0,"Martin Marietta Materials Inc. stock falls Thursday, still outperforms market",2023-04-20 17:10:00,https://www.marketwatch.com/data-news/martin-marietta-materials-inc-stock-falls-thursday-still-outperforms-market-98b1b52f-ed929cb70409?mod=mw_quote_news,mlm
1,"Martin Marietta Materials Inc. stock rises Wednesday, outperforms market",2023-04-19 17:10:00,https://www.marketwatch.com/data-news/martin-marietta-materials-inc-stock-rises-wednesday-outperforms-market-ca405e48-f506deb1de7e?mod=mw_quote_news,mlm
2,"Martin Marietta Materials Inc. stock falls Tuesday, underperforms market",2023-04-18 17:09:00,https://www.marketwatch.com/data-news/martin-marietta-materials-inc-stock-falls-tuesday-underperforms-market-bd476ede-75c21e4f86b3?mod=mw_quote_news,mlm
3,"Martin Marietta Materials Inc. stock rises Monday, outperforms market",2023-04-17 17:09:00,https://www.marketwatch.com/data-news/martin-marietta-materials-inc-stock-rises-monday-outperforms-market-2df8734f-30decb411547?mod=mw_quote_news,mlm
4,"Martin Marietta Materials Inc. stock rises Friday, outperforms market",2023-04-14 17:09:00,https://www.marketwatch.com/data-news/martin-marietta-materials-inc-stock-rises-friday-outperforms-market-b4f122f5-77f0f6a9c32c?mod=mw_quote_news,mlm
5,Martin Marietta Materials' 4Q Revenue Falls as Weather Drags,2023-02-15 07:36:00,https://www.marketwatch.com/story/martin-marietta-materials-4q-revenue-falls-as-weather-drags-d5a56dda?mod=mw_quote_news,mlm
6,Martin Marietta Materials Sees Price Increases Boosting 2023 Results,2023-02-15 07:27:00,https://www.marketwatch.com/story/martin-marietta-materials-sees-price-increases-boosting-2023-results-fbe118cf?mod=mw_quote_news,mlm
7,Stocks Poised for Lower Open on Monday,2023-02-12 18:29:00,https://www.marketwatch.com/articles/stocks-poised-for-lower-open-on-monday-d9998ebf?mod=mw_quote_news,mlm
8,The Government’s Infrastructure Binge Is Coming. Finding Stocks to Play It Is Tricky.,2023-02-02 03:00:00,https://www.marketwatch.com/articles/infrastructure-binge-is-coming-stocks-to-play-it-51675294787?mod=mw_quote_news,mlm
9,Martin Marietta Stock Can Thrive in Both Inflation and Deflation,2023-01-13 21:27:00,https://www.marketwatch.com/articles/martin-marietta-stock-can-thrive-in-both-inflation-and-deflation-51673663233?mod=mw_quote_news,mlm
10,"Raymond James hikes ratings on Vulcan Materials, Martin Marietta on potential boost from U.S. infra spending",2022-08-19 08:04:00,https://www.marketwatch.com/story/raymond-james-hikes-ratings-on-vulcan-materials-martin-marietta-on-potential-boost-from-us-infra-spending-2022-08-19?mod=mw_quote_news,mlm
11,The February Effect: Dividend Hikes Spike in the Shortest Month,2022-08-18 11:00:00,https://www.marketwatch.com/articles/dividends-yields-buyback-tax-51660833371?mod=mw_quote_news,mlm
12,Infrastructure-Stock Plays Are Here for the Long Term,2021-11-10 10:14:00,https://www.marketwatch.com/articles/infrastructure-legislation-stocks-51636557182?mod=mw_quote_news,mlm
