,Headline,Date,URL,Company
0,Argo Group and Akoya Biosciences Stock See Action From Activist Investors,2023-02-10 18:36:00,https://www.marketwatch.com/articles/13d-filing-argo-stock-akoya-tucows-a5132528?mod=mw_quote_news,mrcy
1,Industrials Up on Fed Policy Optimism -- Industrials Roundup,2023-02-01 17:27:00,https://www.marketwatch.com/story/industrials-up-on-fed-policy-optimism-industrials-roundup-271675290440?mod=mw_quote_news,mrcy
2,Mercury Systems Shares Rise 13% Following Strategic Alternatives Review,2023-02-01 12:14:00,https://www.marketwatch.com/story/mercury-systems-shares-rise-13-following-strategic-alternatives-review-271675271693?mod=mw_quote_news,mrcy
3,"Elliott Stays Active: Retreats From SoftBank, Buys Stake in Aerojet",2022-08-16 11:13:00,https://www.marketwatch.com/articles/elliott-softbank-aerojet-51660662808?mod=mw_quote_news,mrcy
4,Mercury Systems and GMS Stock See Action From Activist Investors,2022-07-01 18:38:00,https://www.marketwatch.com/articles/mercury-systems-and-gms-stock-see-action-from-activist-investors-51656715120?mod=mw_quote_news,mrcy
5,"Mercury Systems, SWK Holdings See Activist Action",2021-12-30 19:00:00,https://www.marketwatch.com/articles/mercury-systems-swk-holdings-see-activist-action-51640908801?mod=mw_quote_news,mrcy
6,"Mercury Systems adopts 1-year 'poison pill,' following disclosure of Jana Partners acquiring a 6.6% stake",2021-12-28 08:20:00,https://www.marketwatch.com/story/mercury-systems-adopts-1-year-poison-pill-following-disclosure-of-jana-partners-acquiring-a-66-stake-2021-12-28?mod=mw_quote_news,mrcy
7,Mercury Systems stock pops after activist investor discloses stake,2021-12-23 15:06:00,https://www.marketwatch.com/story/mercury-systems-stock-pops-after-activist-investor-discloses-stake-2021-12-23?mod=mw_quote_news,mrcy
8,This Defense Stock Is Ready to Rise. Why It Looks Like a Winner.,2021-07-07 04:00:00,https://www.marketwatch.com/articles/mercury-systems-defense-stock-51625614799?mod=mw_quote_news,mrcy
9,Here are 35 stocks in the market’s two hottest sectors that Wall Street loves,,https://www.marketwatch.com/story/here-are-35-stocks-in-the-markets-two-hottest-sectors-that-wall-street-loves-2020-09-21?mod=mw_quote_news,mrcy
10,12 Stocks That Could Take Off—If You’re Willing to Bet Everyone Else Is Wrong,2020-07-14 08:19:00,https://www.marketwatch.com/articles/12-stocks-that-could-take-off-51594728911?mod=mw_quote_news,mrcy
11,"As SpaceX sends Americans into orbit, investors can take this ETF to a new frontier",2020-06-02 07:49:00,https://www.marketwatch.com/story/as-spacex-sends-americans-into-orbit-investors-can-take-this-etf-to-a-new-frontier-2020-05-30?mod=mw_quote_news,mrcy
12,Opinion: Three stocks that are ‘part of the solution’ to the coronavirus crisis,2020-03-24 06:51:00,https://www.marketwatch.com/story/three-stocks-that-are-part-of-the-solution-to-the-coronavirus-crisis-2020-03-19?mod=mw_quote_news,mrcy
13,Boeing’s push to preserve cash and tap huge credit line spooks investors,2020-03-12 15:01:00,https://www.marketwatch.com/story/boeings-push-to-preserve-cash-and-tap-huge-credit-line-spooks-investors-2020-03-11?mod=mw_quote_news,mrcy
14,The Most Popular Small-Caps Underperformed Last Year. They’re Perking Up in 2020.,2020-01-21 06:00:00,https://www.marketwatch.com/articles/the-most-popular-small-caps-underperformed-last-year-theyre-perking-up-in-2020-51579604401?mod=mw_quote_news,mrcy
15,Defense Stocks Rose on Iran Tensions. Whether You Should Buy Them Is Another Matter.,2020-01-06 11:36:00,https://www.marketwatch.com/articles/defense-stocks-iran-tensions-conflict-war-valuaiton-51578327910?mod=mw_quote_news,mrcy
16,"AMD Rises, but This Activist Stock Target Is Wednesday's Winner",2023-02-01 04:45:00,https://www.fool.com/investing/2023/02/01/amd-rises-but-this-activist-stock-target-is-wednes/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,mrcy
