,Headline,Date,URL,Company
0,Oshkosh Corp. Raises Quarterly Dividend by 11% >OSK,2023-01-31 07:13:00,https://www.marketwatch.com/story/oshkosh-corp-raises-quarterly-dividend-by-11-osk-271675167208?mod=mw_quote_news,osk
1,USPS will electrify entire mail-delivery fleet within just a few years,2022-12-20 15:32:00,https://www.marketwatch.com/story/usps-will-electrify-entire-mail-delivery-fleet-in-just-a-few-years-11671568373?mod=mw_quote_news,osk
2,"Famed Value Investor Bought Up Citigroup, PulteGroup, and Oshkosh Stock",2022-10-10 03:00:00,https://www.marketwatch.com/articles/citigroup-stock-pultegroup-oshkosh-gildan-51665163621?mod=mw_quote_news,osk
3,"In reversal, Postal Service to boost purchases of electric vehicles",2022-07-20 19:42:00,https://www.marketwatch.com/story/in-reversal-postal-service-to-boost-purchases-of-electric-vehicles-01658360555?mod=mw_quote_news,osk
4,The USPS Is Leaning Harder Into EVs. Workhorse Stock Is Jumping.,2022-07-20 12:59:00,https://www.marketwatch.com/articles/usps-fleet-evs-workhorse-stock-51658336293?mod=mw_quote_news,osk
5,"Oshkosh shares dip premarket after company swings to a loss and lowers guidance, citing inflation and supply chain issues",2022-04-27 07:37:00,https://www.marketwatch.com/story/oshkosh-shares-dip-premarket-after-company-swings-to-a-loss-and-lowers-guidance-citing-inflation-and-supply-chain-issues-2022-04-27?mod=mw_quote_news,osk
6,House Democrats seek probe of Postal Service plan for new mail truck fleet,2022-03-14 16:56:00,https://www.marketwatch.com/story/house-democrats-seek-probe-of-postal-service-plan-for-new-mail-truck-fleet-01647291394?mod=mw_quote_news,osk
7,A dirty fleet? U.S. Postal Service can move ahead with delivery vehicle upgrades that still favor gasoline,2022-02-23 15:03:00,https://www.marketwatch.com/story/a-dirty-fleet-u-s-postal-service-can-move-ahead-with-delivery-vehicle-upgrades-that-still-favor-gasoline-11645646598?mod=mw_quote_news,osk
8,"Postal Service’s new delivery fleet needs more electric vehicles, EPA says",2022-02-02 19:09:00,https://www.marketwatch.com/story/postal-services-new-delivery-fleet-needs-more-electric-vehicles-epa-says-01643846966?mod=mw_quote_news,osk
9,"4 ‘Fresh’ Infrastructure Stocks to Buy Now That a Bill Is Passed, According to an Analyst",2021-11-08 09:28:00,https://www.marketwatch.com/articles/caterpillar-deere-cummins-stock-infrastructure-bill-51636381692?mod=mw_quote_news,osk
10,There’s a lesson from Charlie Munger’s increased bet on Alibaba,2021-10-08 06:38:00,https://www.marketwatch.com/story/theres-a-lesson-from-charlie-mungers-increased-bet-on-alibaba-11633689533?mod=mw_quote_news,osk
11,Oshkosh shares slide 5.4% premarket after truck-maker cuts Q4 guidance citing supply chain snags,2021-10-08 07:03:00,https://www.marketwatch.com/story/oshkosh-shares-slide-54-premarket-after-truck-maker-cuts-q4-guidance-citing-supply-chain-snags-2021-10-08?mod=mw_quote_news,osk
12,Oshkosh Stock Isn't as Cheap as It Looks,2023-02-20 07:07:00,https://www.fool.com/investing/2023/02/20/oshkosh-stock-isnt-as-cheap-as-it-looks/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,osk
13,Why Oshkosh Stock Fell on Friday,2023-02-10 16:55:00,https://www.fool.com/investing/2023/02/10/why-oshkosh-stock-fell-on-friday/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,osk
