,Headline,Date,URL,Company
0,"Pentair PLC stock rises Thursday, outperforms market",2023-04-20 17:18:00,https://www.marketwatch.com/data-news/pentair-plc-stock-rises-thursday-outperforms-market-ef7cf0e3-601e4d3bc4f8?mod=mw_quote_news,pnr
1,"Pentair PLC stock falls Wednesday, underperforms market",2023-04-19 17:18:00,https://www.marketwatch.com/data-news/pentair-plc-stock-falls-wednesday-underperforms-market-bd8d1b84-0dec5c635ece?mod=mw_quote_news,pnr
2,"Pentair PLC stock falls Tuesday, underperforms market",2023-04-18 17:18:00,https://www.marketwatch.com/data-news/pentair-plc-stock-falls-tuesday-underperforms-market-ca8a2b12-62f9741a9149?mod=mw_quote_news,pnr
3,"Pentair PLC stock rises Monday, still underperforms market",2023-04-17 17:18:00,https://www.marketwatch.com/data-news/pentair-plc-stock-rises-monday-still-underperforms-market-5a353683-d1c84fecc85e?mod=mw_quote_news,pnr
4,"Pentair PLC stock falls Friday, underperforms market",2023-04-14 17:18:00,https://www.marketwatch.com/data-news/pentair-plc-stock-falls-friday-underperforms-market-c33c6739-18c12c4a5704?mod=mw_quote_news,pnr
5,,,https://www.marketwatch.com/video/series/sectorwatch/why-the-pool-industry-can-be-a-good-inflation-hedge/5B903C55-671C-4F0F-807D-3A965D83E2C4?mod=mw_quote_news,pnr
6,UPDATE: Pentair to acquire Manitowoc Ice for about $1.38 billion including tax benefits,2022-03-03 07:04:00,https://www.marketwatch.com/story/pentair-to-acquire-manitowoc-ice-for-about-138-billion-including-tax-benefits-2022-03-03?mod=mw_quote_news,pnr
7,Pentair raises dividend by a penny a share,2021-12-07 07:05:00,https://www.marketwatch.com/story/pentair-raises-dividend-by-a-penny-a-share-2021-12-07?mod=mw_quote_news,pnr
8,J.P. Morgan’s Tusa Doesn’t Just Hate GE Stock. Now He Hates Pentair Too.,2021-08-26 09:43:00,https://www.marketwatch.com/articles/j-p-morgans-tusa-pentair-downgrade-ge-51629985280?mod=mw_quote_news,pnr
9,Swimming Pools Are Hot. And These Stocks Prove It.,2021-04-22 17:01:00,https://www.marketwatch.com/articles/swimming-pools-are-hot-and-these-stocks-prove-it-51619125269?mod=mw_quote_news,pnr
