,Headline,Date,URL,Company
0,"PayPal Holdings Inc. stock falls Wednesday, underperforms market",2023-04-19 17:20:00,https://www.marketwatch.com/data-news/paypal-holdings-inc-stock-falls-wednesday-underperforms-market-a3ce8a03-90c397d46b64?mod=mw_quote_news,pypl
1,Large cryptocurrencies fall as Solana declines,2023-04-19 10:00:00,https://www.marketwatch.com/data-news/large-cryptocurrencies-fall-as-solana-declines-40594a10-ab72721b1c92?mod=mw_quote_news,pypl
2,"More than 171,000 tech-sector employees have lost their jobs since the start of 2023",2023-04-17 12:11:00,https://www.marketwatch.com/story/more-than-170-000-tech-sector-employees-have-lost-their-jobs-since-the-start-of-2023-a3596851?mod=mw_quote_news,pypl
3,"PayPal Holdings Inc. stock falls Tuesday, underperforms market",2023-04-18 17:19:00,https://www.marketwatch.com/data-news/paypal-holdings-inc-stock-falls-tuesday-underperforms-market-d4c9ba95-838199b3ca39?mod=mw_quote_news,pypl
4,Polkadot leads way as large cryptocurrencies post advances,2023-04-18 10:00:00,https://www.marketwatch.com/data-news/polkadot-leads-way-as-large-cryptocurrencies-post-advances-375e7a86-41a31ac542d2?mod=mw_quote_news,pypl
5,PayPal Holdings Inc. stock outperforms market on strong trading day,2023-04-17 17:19:00,https://www.marketwatch.com/data-news/paypal-holdings-inc-stock-outperforms-market-on-strong-trading-day-4476a704-29af93aaad1e?mod=mw_quote_news,pypl
6,Cardano leads way as most big cryptocurrencies post declines,2023-04-17 10:00:00,https://www.marketwatch.com/data-news/cardano-leads-way-as-most-big-cryptocurrencies-post-declines-a7e16717-fd7b84c85cf3?mod=mw_quote_news,pypl
7,PayPal Holdings Inc. stock outperforms competitors on strong trading day,2023-04-14 17:19:00,https://www.marketwatch.com/data-news/paypal-holdings-inc-stock-outperforms-competitors-on-strong-trading-day-dd7ff6be-93e453712ea4?mod=mw_quote_news,pypl
8,Ethereum leads way as most big cryptocurrencies post gains,2023-04-14 10:00:00,https://www.marketwatch.com/data-news/ethereum-leads-way-as-most-big-cryptocurrencies-post-gains-3ee836ad-56c31191b80b?mod=mw_quote_news,pypl
9,PayPal Holdings Inc. stock underperforms Thursday when compared to competitors despite daily gains,2023-04-13 17:19:00,https://www.marketwatch.com/data-news/paypal-holdings-inc-stock-underperforms-thursday-when-compared-to-competitors-despite-daily-gains-431b631d-9110067f093c?mod=mw_quote_news,pypl
10,Ether rallies after an upgrade that enables investors to withdraw their locked coins. Here’s why,2023-04-13 15:27:00,https://www.marketwatch.com/story/ether-rallies-after-an-upgrade-that-enables-investors-to-withdraw-their-locked-coins-heres-why-dcf13e7d?mod=mw_quote_news,pypl
11,Large cryptocurrencies rise as Dogecoin rallies,2023-04-13 10:00:00,https://www.marketwatch.com/data-news/large-cryptocurrencies-rise-as-dogecoin-rallies-a08ca30e-caaaaa8595cd?mod=mw_quote_news,pypl
12,Visa Partners With PayPal to Pilot Visa+ Service,2023-04-11 07:28:00,https://www.marketwatch.com/story/visa-partners-with-paypal-to-pilot-visa-service-693731d1?mod=mw_quote_news,pypl
13,"More than 168,000 tech-sector employees have lost their jobs since the start of 2023",2023-04-03 16:28:00,https://www.marketwatch.com/story/more-than-166-000-tech-sector-employees-have-lost-their-jobs-since-the-start-of-2023-40586764?mod=mw_quote_news,pypl
14,"4 Things to Know About ‘Buy Now, Pay Later’ as Apple Pay Later Launches",2023-04-02 04:00:00,https://www.marketwatch.com/articles/apple-pay-later-bnpl-69202d4a?mod=mw_quote_news,pypl
15,Electronic Arts becomes latest tech-sector company to announce layoffs,2023-02-08 10:31:00,https://www.marketwatch.com/story/zoom-and-ebay-join-dell-okta-spotify-google-intel-microsoft-amazon-and-other-tech-companies-making-layoffs-11675870296?mod=mw_quote_news,pypl
16,"More than 157,000 tech-sector employees have lost their jobs since the start of 2023",2023-03-27 08:02:00,https://www.marketwatch.com/story/more-than-153-000-tech-sector-employees-have-lost-their-jobs-since-the-start-of-2023-490aec3e?mod=mw_quote_news,pypl
17,"Can bitcoin hold gains, as U.S. regulators target crypto companies?",2023-03-30 16:16:00,https://www.marketwatch.com/story/can-bitcoin-hold-gains-as-u-s-regulators-target-crypto-companies-8fa7a8da?mod=mw_quote_news,pypl
18,"Crypto will be ‘over’ in the U.S. if Coinbase loses battle with SEC, this industry participant says. Here’s why",2023-03-23 15:35:00,https://www.marketwatch.com/story/crypto-will-be-over-in-the-u-s-if-coinbase-loses-battle-with-sec-this-industry-participant-says-heres-why-7074bbb?mod=mw_quote_news,pypl
19,Pandora’s Latest Problem Starts With the Letter P,2017-05-22 15:03:00,http://www.marketwatch.com/articles/pandoras-latest-problem-starts-with-the-letter-p-1495479807?mod=mw_quote_news,pypl
20,Why I'm in No Hurry to Buy PayPal Stock,2023-04-16 01:59:00,https://www.fool.com/investing/2023/04/16/why-im-in-no-hurry-to-buy-paypal-stock/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pypl
21,2 Growth Stocks to Hold for the Next 10 Years,2023-04-14 02:06:00,https://www.fool.com/investing/2023/04/14/2-growth-stocks-to-hold-for-the-next-10-years/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pypl
22,2 Bargain Stocks You Can Buy Today and Hold Forever,2023-04-13 23:12:00,https://www.fool.com/investing/2023/04/14/2-bargain-stocks-buy-today-hold-forever/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pypl
23,"2 Growth Stocks With 113% and 243% Upside to Buy Now, According to Wall Street",2023-04-12 23:33:00,https://www.fool.com/investing/2023/04/13/2-growth-stocks-with-243-upside-to-buy-wall-street/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,pypl
