,Headline,Date,URL,Company
0,Unity Software stock slides nearly 20% as mobile-ad spending dries up and annual forecast weighs,2023-02-23 14:38:00,https://www.marketwatch.com/story/unity-software-stock-slides-nearly-20-as-mobile-ad-spending-dries-up-and-annual-forecast-weighs-91cd5ef9?mod=mw_quote_news,u
1,"These Stocks Are Moving the Most Today: Nvidia, Domino’s Pizza, Wayfair, Lucid, and More",2023-02-23 04:58:00,https://www.marketwatch.com/articles/stock-market-movers-3ff93d1f?mod=mw_quote_news,u
2,Unity Software Stock Is Sinking After Earnings. One Analyst Just Cut His Rating.,2023-02-23 12:33:00,https://www.marketwatch.com/articles/unity-software-stock-sinking-after-earnings-bffc5cd5?mod=mw_quote_news,u
3,Unity Software stock drops as mobile-ad recovery not expected in 2023,2023-02-22 17:19:00,https://www.marketwatch.com/story/unity-software-stock-drops-as-mobile-ad-recovery-not-expected-in-2023-df9c8f13?mod=mw_quote_news,u
4,AppLovin’s stock soars more than 30% as Wall Street sees a bottom for mobile-ad market,2023-02-09 15:52:00,https://www.marketwatch.com/story/applovins-stock-soars-more-than-30-as-wall-street-sees-a-bottom-for-mobile-ad-market-11675975959?mod=mw_quote_news,u
5,Unity Software Shares Rise 13% After New Update for Supersonic Technology,2023-02-09 12:20:00,https://www.marketwatch.com/story/unity-software-shares-rise-13-after-new-update-for-supersonic-technology-271675963248?mod=mw_quote_news,u
6,"Unity Software to lay off more than 200 workers, some projects ‘going in the closet’",2023-01-17 20:43:00,https://www.marketwatch.com/story/unity-software-to-lay-off-more-than-200-workers-some-projects-going-in-the-closet-11674006222?mod=mw_quote_news,u
7,Netflix Stock Gets an Upgrade While Spotify and Roku Get Downgrades,2023-01-12 16:32:00,https://www.marketwatch.com/articles/netflix-spotify-stock-price-upgrade-51673559083?mod=mw_quote_news,u
8,"Applovin, Unity Software get downgrade as analyst sees mobile game crunch into 2024",2022-12-08 14:47:00,https://www.marketwatch.com/story/applovin-unity-software-get-downgrade-as-analyst-sees-mobile-game-crunch-into-2024-11670528834?mod=mw_quote_news,u
9,Unity Software stock drops as revenue fall short of Wall Street expectations,2022-11-09 16:33:00,https://www.marketwatch.com/story/unity-software-stock-drops-as-revenue-fall-short-of-wall-street-expectations-11668029640?mod=mw_quote_news,u
10,ARK Innovation ETF Finally Closed Below Its Covid-Era Low. Why It Might Stay There.,2022-10-14 17:08:00,https://www.marketwatch.com/articles/ark-innovation-etf-covid-era-low-51665781666?mod=mw_quote_news,u
11,"Unity Gets a New Bull. Its Create Platform Is ‘Best in Class,’ Analyst Says.",2022-10-07 09:23:00,https://www.marketwatch.com/articles/unity-bull-buy-stock-ironsource-51665148930?mod=mw_quote_news,u
12,AppLovin gives up quest to merge with Unity Software,,https://www.marketwatch.com/story/applovin-gives-up-quest-to-merge-with-unity-software-11663019009?mod=mw_quote_news,u
13,Mergers Rebound. Here’s Who Will Benefit.,2022-08-18 01:30:00,https://www.marketwatch.com/articles/mergers-acquisitions-rebound-deals-market-51660779373?mod=mw_quote_news,u
14,Unity Stock Tumbles After Board Rejects AppLovin’s $17.5 Billion Buyout Bid,2022-08-15 10:27:00,https://www.marketwatch.com/articles/unity-rejects-applovins-buyout-bid-51660573560?mod=mw_quote_news,u
15,"If TikTok Gets Banned In the U.S., Things Could Get Harder for This Growth Stock",2023-04-19 02:00:00,https://www.fool.com/investing/2023/04/19/if-tiktok-gets-banned-in-the-us-things-could-get-h/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,u
16,"With the Video-Game Slowdown, Unity Is Looking to 2 Other Industries for Growth in 2023",2023-04-18 23:50:00,https://www.fool.com/investing/2023/04/19/with-the-video-game-slowdown-unity-is-looking-to-2/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,u
17,"1 Reason to Buy Unity Stock Right Now, and 1 Reason to Be Cautious",2023-04-11 02:56:00,https://www.fool.com/investing/2023/04/11/1-reason-to-buy-unity-stock-right-now-and-1-reason/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,u
18,Artificial Intelligence Will Change This Industry Forever,2023-04-10 04:53:00,https://www.fool.com/investing/2023/04/10/ai-will-change-this-industry-forever/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,u
19,Could Unity Software Experience a Magnificent Rally in a Nasdaq Bull Market?,2023-04-05 23:15:00,https://www.fool.com/investing/2023/04/06/unity-software-rally-next-nasdaq-bull-market/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,u
20,11 Stocks Fueled by Generative AI Like ChatGPT: Time to Add Them to Your Portfolio?,2023-04-04 03:20:00,https://www.fool.com/investing/2023/04/04/11-stocks-fueled-by-generative-ai-like-chatgpt-tim/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,u
