,Headline,Date,URL,Company
0,Why Boeing Stock Could Fly High Again,2021-06-04 20:00:00,https://www.marketwatch.com/articles/why-boeing-stock-could-fly-high-again-51622851208?mod=mw_quote_news,vrnt
1,Olin Stock Should Climb With New Economic Cycle,2021-04-02 20:49:00,https://www.marketwatch.com/articles/olin-stock-should-climb-with-new-economic-cycle-51617410964?mod=mw_quote_news,vrnt
2,"Verint earnings swing to loss, sales inch higher",2021-03-31 16:23:00,https://www.marketwatch.com/story/verint-earnings-swing-to-loss-sales-inch-higher-2021-03-31?mod=mw_quote_news,vrnt
3,"Dow closes 280 points lower, Nasdaq above 10,000 after Fed says it’ll keep buying bonds and interest rates near zero",2020-06-10 16:53:00,https://www.marketwatch.com/story/dow-futures-slip-ahead-of-fed-policy-update-2020-06-10?mod=mw_quote_news,vrnt
4,"Coronavirus update: Global death toll passes 412,000, as Dr. Fauci warns that COVID-19 is far from over",2020-06-10 13:06:00,https://www.marketwatch.com/story/coronavirus-update-global-death-toll-passes-412000-as-dr-fauci-warns-that-covid-19-is-far-from-over-2020-06-10?mod=mw_quote_news,vrnt
5,"Verint Systems stock falls 9%; customers delaying projects, company says",2020-06-09 16:45:00,https://www.marketwatch.com/story/verint-systems-stock-falls-9-customers-delaying-projects-company-says-2020-06-09?mod=mw_quote_news,vrnt
6,Verint shares fall after revenue miss,2020-03-31 16:23:00,https://www.marketwatch.com/story/verint-shares-fall-after-revenue-miss-2020-03-31?mod=mw_quote_news,vrnt
7,Verint to split in two publicly traded companies; stock gains 9%,2019-12-04 16:41:00,https://www.marketwatch.com/story/verint-to-split-in-two-publicly-traded-companies-stock-halted-2019-12-04?mod=mw_quote_news,vrnt
8,Security-Software Stocks Rally After Goldman Sachs Forecasts ‘Healthy Growth’,2019-11-12 12:33:00,https://www.marketwatch.com/articles/security-software-stocks-information-technology-goldman-sachs-consolidation-buy-rating-51573579300?mod=mw_quote_news,vrnt
9,"Fortinet, Palo Alto Networks stocks gain after bullish calls at Goldman",2019-11-12 10:07:00,https://www.marketwatch.com/story/fortinet-palo-alto-networks-stocks-gain-after-bullish-calls-at-goldman-2019-11-12?mod=mw_quote_news,vrnt
10,Verint's stock sinks after short-seller report; company and analyst refute the report,2019-05-23 14:13:00,https://www.marketwatch.com/story/verints-stock-sinks-after-short-seller-report-company-and-analyst-refute-the-report-2019-05-23?mod=mw_quote_news,vrnt
