,Headline,Date,URL,Company
0,Vertex Pharmaceuticals Inc. stock outperforms market on strong trading day,2023-04-20 17:30:00,https://www.marketwatch.com/data-news/vertex-pharmaceuticals-inc-stock-outperforms-market-on-strong-trading-day-1148ed29-dd98a8bcd4a6?mod=mw_quote_news,vrtx
1,"Vertex Pharmaceuticals Inc. stock rises Wednesday, outperforms market",2023-04-19 17:30:00,https://www.marketwatch.com/data-news/vertex-pharmaceuticals-inc-stock-rises-wednesday-outperforms-market-43b9064e-41a91964308b?mod=mw_quote_news,vrtx
2,Supreme Court Extends Decision on Abortion Pills to Friday,2023-04-19 10:34:00,https://www.marketwatch.com/articles/supreme-court-abortion-pills-today-427f8062?mod=mw_quote_news,vrtx
3,Vertex Pharmaceuticals Inc. stock outperforms competitors despite losses on the day,2023-04-18 17:30:00,https://www.marketwatch.com/data-news/vertex-pharmaceuticals-inc-stock-outperforms-competitors-despite-losses-on-the-day-34be36d8-6d52bc523741?mod=mw_quote_news,vrtx
4,"Vertex Pharmaceuticals Inc. stock falls Monday, underperforms market",2023-04-17 17:30:00,https://www.marketwatch.com/data-news/vertex-pharmaceuticals-inc-stock-falls-monday-underperforms-market-a4012b49-c785e776e5a8?mod=mw_quote_news,vrtx
5,Vertex Pharmaceuticals Inc. stock outperforms competitors on strong trading day,2023-04-14 17:30:00,https://www.marketwatch.com/data-news/vertex-pharmaceuticals-inc-stock-outperforms-competitors-on-strong-trading-day-3d087af3-06ecfd3f00b2?mod=mw_quote_news,vrtx
6,Vertex Gets Authorization in Canada for Expanded Use of Orkambi in Children with Cystic Fibrosis,2023-04-10 10:46:00,https://www.marketwatch.com/story/vertex-gets-authorization-in-canada-for-expanded-use-of-orkambi-in-children-with-cystic-fibrosis-a6a41949?mod=mw_quote_news,vrtx
7,Vertex Gets FDA OK for Studies of VX-264 Cell Therapy in Type 1 Diabetes >VRTX,2023-03-09 08:29:00,https://www.marketwatch.com/story/vertex-gets-fda-ok-for-studies-of-vx-264-cell-therapy-in-type-1-diabetes-vrtx-9e9a9f3e?mod=mw_quote_news,vrtx
8,Crispr Therapeutics: FDA Filing on Sickle Cell Gene Therapy Is Almost Done,2023-02-22 16:10:00,https://www.marketwatch.com/articles/crispr-therapeutics-stock-fda-sickle-cell-gene-therapy-bf56a18c?mod=mw_quote_news,vrtx
9,Vertex Pharmaceuticals Sets $3B Share Repurchase Program,2023-02-07 16:07:00,https://www.marketwatch.com/story/vertex-pharmaceuticals-sets-3b-share-repurchase-program-271675804033?mod=mw_quote_news,vrtx
10,"Healthcare Stocks, a Star in 2022, Are Going Nowhere in 2023",2023-01-10 16:32:00,https://www.marketwatch.com/articles/healthcare-stocks-performance-2023-51673386289?mod=mw_quote_news,vrtx
11,Barron’s Trader Stock Picks Had a Better Year Than the Market. What Worked—and What Didn’t.,2023-01-06 21:16:00,https://www.marketwatch.com/articles/barrons-trader-stock-picks-51673057501?mod=mw_quote_news,vrtx
12,Entrada Therapeutics shares jump on collaboration with Vertex,2022-12-08 08:24:00,https://www.marketwatch.com/story/entrada-therapeutics-shares-jump-on-collaboration-with-vertex-2022-12-08?mod=mw_quote_news,vrtx
13,Opinion: Investors in drug stocks should ignore dubious valuations based on rigged methodologies,2022-11-03 12:10:00,https://www.marketwatch.com/story/investors-in-drug-stocks-should-ignore-dubious-valuations-based-on-rigged-methodologies-11667491829?mod=mw_quote_news,vrtx
14,Biogen and 10 Other Healthcare Stocks Thriving in This Bear Market,2022-10-19 01:30:00,https://www.marketwatch.com/articles/biogen-eli-lilly-biotech-healthcare-stocks-bear-market-51666129948?mod=mw_quote_news,vrtx
15,"CRISPR, Vertex say FDA granted rolling review to experimental CRISPR therapy",,https://www.marketwatch.com/story/crispr-vertex-say-fda-granted-rolling-review-to-experimental-crispr-therapy-2022-09-27?mod=mw_quote_news,vrtx
16,Moderna Wants Investors to Look Past Its Covid-19 Vaccine,,https://www.marketwatch.com/articles/moderna-stock-covid-investors-51662736924?mod=mw_quote_news,vrtx
17,Gene-Editor Crispr Therapeutics CEO Sees Positive Catalysts Ahead,2022-06-23 16:24:00,https://www.marketwatch.com/articles/crispr-therapeutics-stock-ceo-51656015811?mod=mw_quote_news,vrtx
18,5 Healthcare Stocks That Are Bucking the Bear Market,2022-06-15 17:30:00,https://www.marketwatch.com/articles/bristol-myers-stock-healthcare-51655328482?mod=mw_quote_news,vrtx
19,Better Big Biotech Buy: Biogen vs. Vertex,2023-04-20 14:00:00,https://www.fool.com/investing/2023/04/20/better-big-biotech-buy-biogen-vs-vertex/?source=djc&utm_source=djc&utm_medium=feed&utm_campaign=article&mod=mw_quote_news,vrtx
