,ticker,total,positive,negative
0,a,1776,15,42
0,aap,1170,0,12
0,aat,2800,4,41
0,abbv,2116,25,88
0,abcb,2822,10,30
0,abm,1640,10,33
0,abnb,1167,0,14
0,acgl,2760,39,112
0,achc,2882,0,0
0,aci,3356,0,45
0,aciw,1833,58,3
0,acn,1030,25,6
0,adbe,1805,40,3
0,adi,1408,17,35
0,adm,2291,9,2
0,adnt,3044,18,125
0,adsk,2978,6,16
0,aeis,1052,0,1
0,ael,1821,1,69
0,aeo,1596,2,12
0,afg,1957,21,42
0,afrm,1910,9,12
0,agnc,1173,1,0
0,agr,4442,62,90
0,agti,701,1,0
0,aimc,2077,10,5
0,airc,1138,0,6
0,aiz,4130,19,165
0,ajg,3856,0,0
0,ajrd,1615,14,22
0,al,1925,0,26
0,ale,1169,52,28
0,algt,901,0,38
0,alks,1884,1,0
0,alle,1318,1,34
0,alny,1474,13,6
0,altr,2200,0,2
0,alv,1150,3,9
0,am,1610,5,3
0,amat,1128,16,9
0,amc,4200,0,19
0,ame,1146,18,14
0,amkr,1168,1,5
0,amr,1530,0,70
0,amrc,1581,52,17
0,amt,4148,9,14
0,amzn,1704,3,2
0,an,1877,0,90
0,anat,1088,55,0
0,anss,1057,63,0
0,aph,3147,19,8
0,apls,2691,0,2
0,apo,395,13,6
0,appn,1806,11,7
0,aptv,3654,19,42
0,aqua,1429,25,0
0,arch,1629,0,47
0,are,2335,34,70
0,arvn,1168,0,0
0,arw,2123,5,61
0,atkr,1305,24,50
0,atrc,2073,2,14
0,atvi,1177,3,5
0,aub,2601,1,2
0,aur,632,0,0
0,avlr,2249,6,6
0,avtr,706,15,3
0,avy,473,8,0
0,awk,2188,15,43
0,ax,1762,6,11
0,axs,2209,157,90
0,ba,3375,25,282
0,bac,6704,70,139
0,bb,1202,10,28
0,bbwi,1768,12,33
0,bby,1713,3,2
0,bc,1995,23,8
0,bco,3023,90,190
0,bdx,1336,10,63
0,be,3037,8,21
0,becn,2515,0,0
0,bg,2594,13,65
0,bill,1846,11,0
0,bio,1732,24,19
0,bkng,3157,1,82
0,bku,1401,0,79
0,bld,1489,0,3
0,bldr,2040,0,1
0,bmrn,1082,2,14
0,bnl,1650,0,4
0,boh,1324,3,3
0,boot,1984,0,0
0,box,2417,3,1
0,br,1815,23,0
0,brc,725,5,20
0,bros,540,13,0
0,brze,313,2,0
0,btu,3270,14,121
0,burl,3038,7,33
0,bxmt,790,2,7
0,byd,285,0,1
0,c,5212,8,78
0,cacc,966,13,27
0,car,2103,7,67
0,casy,1108,5,1
0,cat,1702,13,14
0,caty,954,0,0
0,cb,2586,413,398
0,cboe,3146,0,11
0,cbrl,54,0,0
0,cbsh,1616,6,34
0,cc,4320,4,3
0,cccs,491,0,0
0,cci,1132,1,0
0,cck,1183,11,54
0,ccl,932,7,20
0,cday,1749,0,8
0,cdk,2214,21,35
0,cdns,1130,8,0
0,ce,1190,5,29
0,cern,967,17,26
0,cf,2067,21,47
0,cfg,1967,39,17
0,cfr,1586,0,6
0,cg,3868,0,40
0,cgc,2860,0,0
0,chdn,1934,15,76
0,chgg,2014,57,15
0,chh,2337,37,35
0,chk,1970,3,81
0,chtr,1831,3,12
0,chwy,1203,0,2
0,chx,900,11,27
0,cien,1418,28,29
0,cim,2628,0,3
0,clf,1699,27,0
0,clr,1352,16,77
0,cma,1254,0,26
0,cmc,1219,3,7
0,cmg,1816,4,3
0,cmtg,973,1,15
0,cnm,575,10,0
0,cnmd,1523,3,11
0,cno,2504,46,420
0,cnx,2818,8,45
0,cnxc,539,6,12
0,coin,976,12,15
0,coke,1710,47,55
0,cold,3736,50,16
0,coo,1340,8,13
0,cort,694,4,2
0,cost,525,14,0
0,coup,2578,27,2
0,cour,1116,0,3
0,cp,2458,10,42
0,cprt,1502,3,11
0,cr,2226,19,17
0,crc,1768,31,81
0,crox,1558,3,1
0,crsp,2494,11,4
0,crvl,732,0,4
0,csco,2092,22,45
0,csgp,1356,66,6
0,cta-pa,3212,9,96
0,ctas,1255,16,8
0,ctra,917,0,38
0,cvi,1414,1,25
0,cw,1258,40,22
0,cwen,2263,11,12
0,cwst,1971,11,10
0,cytk,1669,10,8
0,d,8902,146,306
0,dar,2652,13,36
0,dbrg,4239,1,121
0,dbx,2234,2,34
0,dci,1115,40,0
0,dd,2660,3,57
0,de,3194,27,43
0,deck,1112,4,25
0,den,1040,12,16
0,dhi,2621,9,10
0,diod,1722,4,0
0,dish,4562,14,33
0,dkng,467,2,12
0,dks,915,11,6
0,dlb,1703,0,6
0,dlr,2631,1,12
0,dnli,2273,1,0
0,docu,1493,13,3
0,dorm,1568,3,2
0,dpz,666,6,0
0,dre,993,0,22
0,dt,1581,6,0
0,dte,2889,67,16
0,dv,749,0,0
0,dvn,2164,25,94
0,dxc,2611,66,86
0,dxcm,1035,2,0
0,ea,1578,36,11
0,eaf,1781,29,19
0,ecl,4081,9,43
0,ed,4078,20,318
0,eix,5249,20,255
0,eme,1750,56,59
0,emr,1453,26,34
0,enph,2070,22,0
0,ensg,3537,6,45
0,eqh,2832,34,96
0,eqix,2510,64,11
0,es,2534,16,15
0,esgr,5150,106,199
0,ess,3439,0,0
0,estc,1021,7,8
0,etr,6643,106,126
0,etwo,2287,11,0
0,evcm,993,0,0
0,evtc,1461,9,22
0,ew,1134,81,11
0,exp,1641,0,14
0,expd,647,8,44
0,expe,2876,3,75
0,exr,2012,0,4
0,f,2218,4,44
0,faf,1568,0,13
0,fast,458,0,0
0,fcfs,902,2,4
0,fcn,1023,5,8
0,fcx,2295,9,122
0,ffin,879,0,5
0,fhi,1604,17,54
0,fhn,2894,1,41
0,fix,2053,2,11
0,fl,1323,22,41
0,fls,2105,28,9
0,flt,1460,0,23
0,fmc,2199,34,12
0,focs,1535,2,0
0,form,840,25,10
0,frpt,972,0,2
0,frsh,487,0,2
0,ftdr,2559,0,21
0,ftnt,1476,95,5
0,ftv,2482,16,31
0,g,4103,57,19
0,gbdc,1,0,0
0,gdrx,1338,4,0
0,ggg,758,5,0
0,gh,1872,5,77
0,gild,2009,48,66
0,gl,1008,5,32
0,glpi,2055,5,41
0,glw,2869,20,104
0,gm,2493,44,37
0,gme,1925,16,102
0,go,1578,2,0
0,golf,1653,1,6
0,gpi,2075,15,67
0,gpk,2519,30,38
0,gpn,1716,33,19
0,gtlb,442,7,0
0,gtls,3216,56,23
0,gwre,1026,6,9
0,hain,2077,31,85
0,hal,1216,24,96
0,hayw,762,0,5
0,hca,253,0,0
0,hcp,385,0,0
0,hele,1570,40,27
0,hli,1887,0,0
0,hlne,1562,0,3
0,hog,1604,0,22
0,holx,2814,14,27
0,hp,2172,33,93
0,hpp,2560,8,13
0,hpq,2080,11,84
0,hri,1062,0,0
0,hrmy,716,0,7
0,hsy,1933,4,12
0,hth,3055,4,3
0,htz,2204,49,55
0,hubb,1764,15,73
0,hubg,1810,3,11
0,hubs,2085,3,6
0,hum,2020,20,15
0,hun,1957,0,5
0,hwc,1519,10,54
0,hxl,2754,2,0
0,iboc,1432,1,16
0,ibp,1134,12,5
0,ibtx,1585,0,0
0,icui,1209,14,16
0,ida,907,57,0
0,iep,2746,12,19
0,ihrt,1842,0,86
0,iivi,1842,4,5
0,infa,893,3,19
0,ingr,1898,0,0
0,insp,1246,11,17
0,inst,1562,0,6
0,intc,1154,6,52
0,intu,1767,10,0
0,invh,2650,0,0
0,iot,71,0,4
0,ip,2450,9,79
0,ipg,1559,11,18
0,ipgp,1760,0,40
0,iqv,1786,56,27
0,ir,1577,19,50
0,irm,2095,15,18
0,irtc,1475,0,20
0,isrg,1122,41,6
0,it,2205,56,14
0,itgr,1568,53,21
